Module	Section	Sample Name	Source
FastQC	all_sections	DC2PLUS_S10_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2PLUS_S10_L002_R2_001_fastqc.zip
FastQC	all_sections	DC1MINUS_S7_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC1MINUS_S7_L002_R1_001_fastqc.zip
FastQC	all_sections	DC2Pool_NoIndex_L001_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2Pool_NoIndex_L001_R1_001_fastqc.zip
FastQC	all_sections	DC4MINUS_S11_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC4MINUS_S11_L002_R2_001_fastqc.zip
FastQC	all_sections	4460_S2_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4460_S2_L002_R2_001_fastqc.zip
FastQC	all_sections	4501_S4_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4501_S4_L002_R1_001_fastqc.zip
FastQC	all_sections	DC1MINUS_S7_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC1MINUS_S7_L002_R2_001_fastqc.zip
FastQC	all_sections	4474_S3_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4474_S3_L002_R2_001_fastqc.zip
FastQC	all_sections	DC4MINUS_S11_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC4MINUS_S11_L002_R1_001_fastqc.zip
FastQC	all_sections	Mischief_Plus_S11_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/Mischief_Plus_S11_L002_R2_001_fastqc.zip
FastQC	all_sections	DC4PLUS_S12_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC4PLUS_S12_L002_R1_001_fastqc.zip
FastQC	all_sections	4501_S4_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4501_S4_L002_R2_001_fastqc.zip
FastQC	all_sections	DC4PLUS_S12_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC4PLUS_S12_L002_R2_001_fastqc.zip
FastQC	all_sections	DC2Pool_NoIndex_L001_I1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2Pool_NoIndex_L001_I1_001_fastqc.zip
FastQC	all_sections	X2654PLUS_S14_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/X2654PLUS_S14_L002_R1_001_fastqc.zip
FastQC	all_sections	Mischief_Plus_S11_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/Mischief_Plus_S11_L002_R1_001_fastqc.zip
FastQC	all_sections	4520_S6_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4520_S6_L002_R2_001_fastqc.zip
FastQC	all_sections	DC1PLUS_S8_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC1PLUS_S8_L002_R1_001_fastqc.zip
FastQC	all_sections	Mischief_Minus_S12_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/Mischief_Minus_S12_L002_R2_001_fastqc.zip
FastQC	all_sections	4474_S3_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4474_S3_L002_R1_001_fastqc.zip
FastQC	all_sections	DC3Pool_NoIndex_L001_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC3Pool_NoIndex_L001_R2_001_fastqc.zip
FastQC	all_sections	DC2Pool_NoIndex_L001_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2Pool_NoIndex_L001_R2_001_fastqc.zip
