X1	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
LOC111559501	0	19	7	0	2	6	6	1	6
POMP	2028	2186	1681	2232	3398	33	46	1751	1976
SLC46A3	27	86	80	33	37	55	57	70	91
MTUS2	1	10	11	3	5	176	194	5	5
LOC109496599	0	1	0	0	0	9	12	0	0
LOC109496695	0	0	1	0	0	16	23	1	0
SLC7A1	1747	2214	1973	2371	2974	174	177	1101	1270
LOC109496642	24	18	10	30	25	115	129	12	13
LOC109496619	0	0	0	0	0	3	11	0	0
LOC109496645	0	0	0	0	0	41	52	0	0
LOC111559507	0	0	0	0	0	69	64	0	0
LOC109496768	0	0	0	0	0	92	67	1	0
LOC109496710	0	1	0	0	0	90	136	0	0
UBL3	2034	2695	2209	2483	3049	104	88	924	1198
LOC109496855	0	4	0	0	0	47	57	0	0
LOC111559546	0	0	0	0	0	29	29	0	0
KATNAL1	149	159	120	227	328	101	116	142	155
LOC102902205	12	29	34	23	23	75	71	18	11
LOC111559516	5	1	0	1	2	72	73	1	2
LOC109497259	9	22	10	6	4	61	76	8	3
HMGB1	3513	3177	2414	3469	4504	1845	1050	2130	2597
LOC109497262	1	0	0	0	3	92	104	2	2
LOC109497264	15	18	17	20	20	136	134	12	17
USPL1	138	149	112	138	202	143	137	118	115
TRNAN-GUU	3	3	11	5	4	4	11	3	1
LOC111559523	4	1	1	2	3	42	79	0	0
ALOX5AP	0	0	0	0	0	98	106	0	0
LOC109497268	0	0	0	0	0	17	25	0	0
LOC102902594	7	33	21	4	8	21	50	14	10
LOC109492552	0	4	1	0	0	26	33	0	0
LOC109497270	19	13	8	25	42	4	24	17	12
MEDAG	10786	7931	6780	10944	13661	33	47	5543	7321
LOC111559528	155	66	51	76	112	127	153	42	58
LOC109497286	0	0	0	0	0	23	21	0	0
TEX26	0	1	0	0	1	24	22	0	0
LOC111559529	0	0	0	0	0	27	32	0	0
LOC111559531	0	0	0	0	0	45	79	0	0
LOC109497276	0	0	0	0	0	55	67	0	0
LOC102900692	0	0	0	0	0	14	33	0	0
LOC102899076	0	0	0	2	0	53	41	0	0
HSPH1	1942	1560	1295	2284	3236	249	197	1057	1235
LOC102899192	9	3	3	7	3	2	2	0	1
LOC109497283	1	0	0	0	0	26	14	0	0
LOC111559537	232	135	111	194	218	27	36	46	61
B3GLCT	1091	876	708	1102	1607	109	138	690	769
LOC109497302	2	2	0	3	4	68	96	2	2
LOC109497301	11	9	6	11	14	100	124	2	6
LOC105260585	0	0	1	0	0	48	40	0	0
LOC109497305	0	0	0	0	0	2	6	0	0
RXFP2	3	5	1	0	2	93	143	0	0
FRY	1237	653	500	934	1226	487	627	624	690
LOC102901028	6	2	0	0	0	34	40	1	1
LOC109497331	0	0	0	0	0	7	17	0	0
LOC109497337	4	2	3	4	7	83	120	5	2
ZAR1L	0	5	3	6	4	55	62	0	0
BRCA2	58	52	55	85	77	290	258	27	33
N4BP2L1	92	122	106	54	68	34	32	66	128
N4BP2L2	1641	2104	1702	1558	2106	124	112	1113	1429
PDS5B	567	678	537	673	869	423	352	293	285
LOC109497366	0	0	0	0	0	74	101	0	0
LOC109497357	0	0	1	0	1	32	34	0	0
KL	0	0	0	0	3	59	43	0	3
LOC109497379	0	0	0	0	0	13	8	0	0
LOC109497405	0	0	1	1	0	34	48	1	0
STARD13	766	733	670	1496	2131	255	294	723	798
LOC109497406	1	0	1	2	4	16	10	2	2
LOC111559553	3	2	1	6	8	25	46	5	3
LOC111559555	0	0	1	0	2	19	31	0	0
RFC3	236	266	182	285	436	79	107	126	144
LOC109497412	0	0	0	0	0	16	22	0	0
LOC109497409	0	1	0	1	0	26	13	0	0
LOC111559557	0	0	0	0	0	18	16	0	0
LOC109497407	0	0	1	0	0	29	49	0	2
LOC109497422	0	0	1	0	0	24	24	0	2
LOC109497423	0	0	0	0	0	26	26	0	0
LOC102901791	11	11	20	9	12	37	61	8	11
NBEA	840	1299	992	876	1089	253	298	735	777
LOC101083390	3	3	3	4	1	39	35	4	8
MAB21L1	218	168	169	7	6	33	35	92	81
LOC109492555	0	0	0	0	0	24	32	0	0
DCLK1	1614	1449	1386	1520	2122	230	290	626	754
SOHLH2	162	890	689	88	125	44	57	3	3
LOC111559572	0	0	3	6	5	0	0	3	5
CCDC169	14	38	19	27	45	58	81	17	24
SPART	2850	2986	2390	3396	4481	100	125	1561	2242
CCNA1	14	10	7	18	27	60	69	8	4
SERTM1	1	1	3	10	8	26	42	0	0
LOC109497469	2	8	1	0	2	116	122	0	0
RFXAP	294	393	285	423	580	45	45	179	223
SMAD9	2234	3330	2742	1985	2525	118	115	1139	1391
ALG5	599	571	425	574	844	67	69	425	540
EXOSC8	162	151	95	186	247	57	65	86	121
SUPT20H	720	587	440	930	1314	187	157	449	512
LOC111559720	5	15	15	4	6	20	15	2	4
POSTN	110027	74430	60916	122240	169968	81	100	75977	99205
LOC109497540	23	27	13	24	48	6	14	8	13
TRPC4	1	0	0	1	0	196	251	0	0
LOC111557024	0	0	0	0	0	12	5	0	0
LOC109497541	1	0	0	0	0	16	15	0	0
LOC109492556	0	0	0	0	0	17	28	0	0
UFM1	1840	2065	1654	1944	2605	112	85	1389	1870
FREM2	20	35	33	11	11	321	382	36	39
STOML3	1	0	1	0	0	51	75	0	0
LOC111557022	0	0	0	0	0	1	2	0	0
PROSER1	57	56	60	68	111	189	128	44	41
NHLRC3	1453	1752	1343	1717	2296	164	142	1049	1385
LOC109492559	0	0	0	0	0	7	12	0	2
LOC111559741	10	1	0	2	2	25	17	1	2
LHFPL6	4966	9493	7481	3577	4582	90	117	8504	9479
COG6	1234	1940	1552	2126	2863	142	128	1058	1359
LOC109497583	0	0	0	0	0	75	90	0	0
LOC109497589	0	0	1	0	0	21	20	1	0
LOC109492560	0	0	0	0	0	20	25	0	0
LOC109497596	3	8	6	2	4	130	151	4	7
LOC109497598	0	0	0	0	0	45	43	0	0
LOC109497603	0	0	0	2	0	61	72	0	0
LOC109497600	0	0	0	0	0	10	18	0	0
FOXO1	309	320	266	281	443	226	197	338	340
MRPS31	878	1159	904	885	1174	174	180	724	912
SLC25A15	203	165	135	380	524	122	190	221	268
LOC101096867	0	4	2	2	1	120	125	1	2
THSD1	51	87	83	96	86	96	148	19	14
LOC111556783	0	0	0	0	0	0	0	0	0
VPS36	969	1188	956	1336	1981	230	183	900	930
CKAP2	192	77	66	178	249	131	108	77	111
NEK3	205	259	191	452	672	78	99	222	298
NEK5	37	40	16	39	53	243	295	43	25
LOC109497673	1	0	0	1	2	6	3	0	2
ALG11	297	258	211	306	414	60	50	208	247
ATP7B	84	43	32	183	197	290	324	70	109
CCDC70	0	1	0	0	0	58	64	0	0
DHRS12	31	36	29	59	56	103	108	24	30
WDFY2	409	511	447	618	726	108	113	297	374
LOC102900676	2	0	0	1	4	78	97	0	4
LOC111556827	0	0	2	0	0	2	2	0	0
INTS6	998	884	693	1080	1434	200	184	725	895
SERPINE3	13	6	16	13	24	64	101	17	17
LOC109497734	2	5	4	8	6	58	74	2	1
LOC105260724	0	0	0	0	0	6	16	0	0
FAM124A	18	19	15	13	30	125	146	20	26
LOC109498200	0	0	0	0	0	59	83	0	0
LOC102900780	0	1	0	0	0	123	152	1	0
LOC101098598	1	0	0	0	0	68	67	0	0
LOC111559776	0	0	0	0	0	23	26	0	0
LOC111559777	1	1	0	0	0	113	87	0	0
RNASEH2B	476	395	270	508	632	194	165	185	233
TRNAK-CUU	0	0	0	0	0	11	12	0	0
DLEU7	0	0	0	0	4	77	101	0	0
LOC109497901	0	0	1	0	0	24	34	0	0
LOC111556929	0	0	0	0	0	0	0	0	0
LOC111556704	0	0	0	0	0	2	0	0	0
LOC102900852	115	71	52	94	102	96	90	29	36
LOC109497907	35	18	10	21	32	82	71	8	12
KCNRG	10	9	6	12	16	19	24	8	4
TRIM13	139	150	105	110	183	41	79	72	111
SPRYD7	368	420	330	383	555	114	84	239	324
LOC109497902	0	0	0	0	0	31	41	0	1
KPNA3	1308	1563	1133	1534	2129	156	137	950	1226
EBPL	196	194	127	158	195	22	24	123	162
RCBTB1	510	752	591	702	1032	325	289	375	497
ARL11	0	1	2	1	0	49	80	1	0
LOC101100105	399	560	484	457	643	258	228	372	408
CAB39L	762	1186	933	761	1137	93	78	534	615
LOC109497890	228	348	222	237	311	38	39	178	231
CDADC1	658	809	630	635	894	188	156	529	617
LOC102901569	42	80	70	47	70	58	70	1	5
MLNR	2	1	3	3	5	25	13	1	2
FNDC3A	1928	2666	2191	1706	2238	255	250	1403	1724
LOC105260363	7	5	1	0	1	21	32	0	0
CYSLTR2	26	110	75	23	16	157	170	6	12
LOC109497974	1	0	3	0	0	31	52	0	0
LOC111556256	0	0	0	0	0	24	34	0	0
RCBTB2	1332	2205	1678	1569	1898	149	169	836	974
RB1	364	566	427	611	929	314	220	291	389
LPAR6	104	117	98	85	105	20	28	59	68
LOC111559794	0	1	0	2	0	32	24	0	1
ITM2B	14757	22588	18429	12007	16926	257	169	19910	22685
LOC111556911	0	0	0	0	0	0	0	0	0
LOC109497981	0	0	0	0	0	60	89	1	0
MED4	317	475	346	337	448	124	111	253	278
NUDT15	244	391	321	258	403	55	47	364	436
SUCLA2	1439	1788	1341	1817	2775	115	96	1284	1430
LOC109497998	14	2	1	8	3	81	122	0	0
HTR2A	0	58	27	1	1	49	61	1	3
LOC109498005	0	2	0	1	0	11	26	0	0
ESD	2015	2146	1694	2195	2881	34	37	1391	1655
LRCH1	607	681	551	672	966	344	297	607	685
LOC111559803	15	53	41	52	37	38	31	24	16
RUBCNL	418	687	580	788	940	265	320	381	437
LRRC63	0	0	0	0	0	89	115	0	0
LCP1	1	111	73	0	2	5260	2933	9	4
LOC109498029	0	0	0	0	0	1	2	0	0
CPB2	1	1	0	1	1	49	66	0	0
ZC3H13	1096	1139	882	1237	1733	996	678	741	876
LOC109498060	1	0	0	0	0	32	36	0	0
LOC109498054	0	0	0	0	0	31	52	0	0
SIAH3	0	0	0	0	0	60	110	0	0
SPERT	0	0	0	0	0	28	36	0	0
LOC111559815	0	0	0	0	0	21	19	0	0
LOC111559816	0	0	2	0	0	6	17	0	0
ERICH6B	0	2	2	1	0	127	182	0	0
LOC109498055	0	0	0	0	0	14	17	0	0
COG3	1175	1331	1085	1398	1832	221	241	783	1001
SLC25A30	1563	1372	1097	940	1240	89	108	1074	1259
LOC109498076	3	6	3	1	1	10	15	2	1
LOC109498069	0	0	0	2	1	12	24	0	1
TPT1	47835	47424	38103	46364	61676	2068	1300	34489	43285
LOC111557013	18	64	51	38	39	2	2	11	15
LOC111557014	11	12	5	8	5	27	9	2	9
LOC109498077	1	1	1	0	0	19	21	0	0
LOC111559737	1	0	0	2	2	31	32	0	0
GTF2F2	279	311	254	344	456	123	91	219	223
KCTD4	2	1	0	1	5	14	15	0	2
GPALPP1	459	457	402	550	741	190	269	328	438
NUFIP1	308	289	285	353	503	83	75	163	240
LOC101085341	0	0	0	0	0	0	0	0	0
TRNAE-UUC_1	0	0	0	1	0	20	10	0	0
LOC111559826	0	0	0	0	0	36	30	0	0
LOC109498105	2	5	3	0	0	12	21	0	0
TSC22D1	2381	3330	2720	2565	3292	231	204	2143	2453
LOC109498118	0	0	0	0	1	96	81	0	0
SERP2	52	85	70	58	79	33	29	30	26
SMIM2	0	2	1	0	0	15	21	0	0
LOC109498125	3	3	1	4	9	31	43	1	1
LOC111559743	0	0	0	0	4	33	51	0	0
LOC102900805	0	0	0	0	0	73	91	0	1
LACC1	326	325	255	310	464	183	186	182	220
CCDC122	9	66	56	41	35	26	51	9	20
ENOX1	265	257	205	147	180	174	209	143	161
LOC109498151	0	1	0	0	1	46	44	0	0
DNAJC15	1296	806	652	1130	1539	90	86	1052	1338
EPSTI1	5	5	4	3	4	183	126	8	5
LOC109498166	0	0	0	0	1	22	20	0	1
FAM216B	1	0	0	0	1	21	48	0	0
LOC109498172	0	0	0	0	0	53	61	0	0
LOC109498170	0	0	1	0	0	23	21	0	2
TNFSF11	1	0	0	0	1	44	40	0	0
AKAP11	2030	2384	1693	2455	2941	379	311	942	1276
LOC111559850	0	0	2	0	0	44	52	1	1
DGKH	929	1805	1333	1824	2130	301	427	981	1284
VWA8	1235	2358	1813	1939	2455	369	441	1109	1301
LOC109498198	0	0	2	0	2	82	86	0	1
RGCC	39	198	167	27	40	103	60	1244	1388
NAA16	440	544	403	501	686	173	146	244	261
MTRF1	217	295	240	229	317	80	90	160	212
LOC101088295	424	632	517	519	699	92	88	348	382
LOC101090830	446	655	531	669	879	79	63	421	528
WBP4	583	573	528	649	878	85	78	369	484
ELF1	1224	1468	1190	1314	1862	366	283	570	690
TRNAE-UUC_2	0	0	0	1	1	1	3	0	0
LOC109498230	50	61	61	60	74	48	69	31	48
SUGT1	1541	1446	1127	1640	2333	98	84	1004	1423
CNMD	15	6	9	9	8	52	44	7	9
LOC101091586	0	0	1	0	0	68	78	0	0
LOC109498231	0	0	0	0	0	30	46	1	0
OLFM4	0	0	0	0	0	135	164	0	0
LOC102901843	0	0	0	0	0	52	58	0	0
LOC111556289	0	0	0	0	0	47	58	0	0
LOC102901884	0	0	0	0	0	18	21	0	0
LOC111559868	0	0	0	0	0	58	55	0	0
LOC102901923	0	0	0	0	0	21	4	0	0
LOC111556986	0	0	0	0	0	0	0	0	0
LOC109492563	0	0	0	0	0	68	46	0	0
LOC109498248	0	0	0	0	0	16	25	0	0
LOC109498249	0	0	0	0	0	18	22	0	0
LOC111556964	0	0	0	0	0	1	6	0	0
LOC111556987	0	0	0	0	0	0	0	0	0
LOC111556764	0	0	0	0	0	2	0	0	0
PCDH17	14	17	15	12	13	140	228	14	19
LOC111559874	0	0	0	0	0	31	43	0	1
LOC111559877	30	45	27	0	1	65	101	0	0
LOC111559879	0	0	1	0	0	14	7	0	0
LOC109498269	0	0	0	0	0	3	8	0	0
DIAPH3	46	2	2	26	34	196	207	3	2
LOC109498288	0	0	0	0	0	14	10	0	0
TDRD3	310	292	229	456	660	160	126	203	192
LOC111557080	0	0	0	0	0	12	5	0	0
LOC109492570	0	0	0	0	0	14	23	0	0
PCDH20	4	1	4	3	1	42	77	5	0
LOC109498314	0	0	0	0	0	17	13	0	0
LOC109492573	0	0	0	0	0	27	31	0	0
LOC111556957	0	0	0	0	0	0	2	0	0
LOC111556975	0	0	0	0	0	8	8	0	0
LOC111559890	0	0	0	0	0	9	15	0	0
LOC109498326	0	0	0	0	0	59	48	0	0
LOC111556747	0	0	0	0	0	0	1	0	0
LOC109492581	0	0	1	0	0	19	8	0	2
LOC111559810	0	0	0	0	0	3	5	0	0
PCDH9	1420	3491	2785	1650	1883	117	156	1586	1851
LOC109498345	2	14	12	6	3	65	97	1	5
LOC109492584	0	0	0	0	1	20	42	0	0
LOC109492592	0	0	0	0	0	1	7	0	0
LOC111557037	0	0	0	0	0	3	2	0	0
LOC101100024	0	0	0	0	0	16	22	0	0
LOC111559836	0	0	0	0	0	7	8	0	0
KLHL1	0	0	0	2	1	56	74	1	0
LOC111556923	0	0	0	0	0	7	3	0	0
DACH1	1	0	0	0	0	102	166	0	1
LOC109492597	0	0	0	0	0	6	12	0	0
MZT1	1130	1287	950	1216	1539	75	60	582	734
BORA	85	72	51	84	131	107	96	56	67
DIS3	636	731	553	812	1051	173	132	354	494
PIBF1	263	439	309	342	524	43	40	193	236
KLF5	78	99	104	61	81	59	76	228	282
LOC109498494	0	0	0	0	0	19	20	1	0
KLF12	912	842	632	1136	1389	183	219	443	544
LOC109498474	8	7	3	6	6	91	98	2	3
LOC109498477	5	4	1	8	9	16	5	3	4
LOC109498473	8	24	10	12	12	56	99	9	8
TBC1D4	2319	1996	1639	2702	3244	164	190	1437	1779
UCHL3	2164	2397	1996	2786	3771	88	92	1508	1915
COMMD6	366	420	357	424	501	25	32	218	263
LMO7	5768	11293	9126	4247	5373	287	317	8800	9851
LOC109498550	16	17	16	8	10	25	23	17	22
LOC109498616	6	8	9	0	1	27	29	12	8
LOC109498606	3	2	0	0	0	22	33	0	4
LOC111556749	0	0	0	0	0	2	11	0	0
LOC111560078	0	0	0	0	0	46	45	0	0
LOC111559858	1	1	0	0	2	47	51	0	0
KCTD12	4590	3733	2791	4994	6802	84	81	790	894
ACOD1	0	0	0	0	1	67	82	0	0
CLN5	2199	2908	2235	2261	3074	146	126	1623	2143
FBXL3	1355	1502	1198	1352	1759	93	67	751	985
LOC109498698	45	20	33	27	31	76	112	7	36
MYCBP2	6036	7966	6336	7344	9511	952	909	7818	9018
SCEL	22	28	10	19	22	185	193	42	46
LOC109498704	0	1	0	0	2	7	4	0	0
SLAIN1	1	3	1	0	0	131	103	1	1
EDNRB	410	479	404	304	464	123	135	2150	2542
LOC109492603	0	0	0	0	0	4	3	0	1
LOC109498710	0	0	0	1	0	99	170	0	0
POU4F1	1	0	0	0	1	28	41	0	0
RNF219	633	675	505	667	950	97	99	383	424
LOC109498732	2	2	3	3	1	26	51	2	4
LOC109498727	3	4	5	1	5	72	77	1	0
LOC109498734	0	0	0	0	0	66	84	0	0
RBM26	945	1081	815	1113	1463	336	273	527	727
NDFIP2	1982	1911	1492	1974	2638	238	158	1276	1546
LOC109498753	1	0	1	1	1	33	36	0	2
LOC109498754	0	0	0	0	0	52	66	0	0
LOC109498764	0	0	0	0	0	19	25	0	0
LOC109498761	0	0	0	0	0	16	13	0	0
LOC109492605	0	0	0	0	0	11	11	0	0
LOC109498776	1	0	1	1	5	11	16	2	2
SPRY2	368	517	452	300	396	42	36	330	381
LOC111560110	21	22	15	9	10	40	43	33	27
LOC111556774	0	0	0	0	0	0	7	0	0
LOC109498777	0	0	0	0	0	14	7	0	0
LOC109492609	0	0	0	0	0	12	10	0	0
LOC109498787	0	0	0	0	0	18	18	0	0
LOC109498786	0	0	0	0	0	22	13	0	0
LOC111556984	0	0	0	0	0	2	2	0	0
LOC111556727	0	0	0	0	0	3	0	0	0
LOC111560115	0	0	0	0	0	51	48	0	0
SLITRK1	0	0	0	0	0	65	59	0	0
LOC111560117	0	0	0	0	0	5	6	0	0
LOC111556999	0	0	0	0	0	3	0	0	0
LOC111560056	0	1	0	0	0	2	5	0	0
SLITRK6	1	5	18	0	1	34	53	2	3
LOC111560120	0	0	0	0	0	12	11	0	0
LOC109498813	0	0	0	0	1	23	24	0	0
SLITRK5	10	3	1	8	3	108	147	0	0
LOC101093984	1	0	0	0	0	12	9	0	0
LOC111556882	0	0	0	0	0	4	3	0	0
LOC109498814	0	0	0	0	0	24	44	0	0
LOC111560123	0	0	0	0	0	24	30	0	0
LOC109492621	0	0	0	0	0	16	28	0	0
GPC5	0	1	1	1	0	107	163	0	0
LOC111556710	0	0	0	0	0	0	7	0	0
LOC111556930	0	0	0	0	0	0	1	0	0
GPC6	2550	6746	5617	4070	5394	189	232	3421	4038
LOC109498840	14	25	17	18	16	86	119	7	10
DCT	0	0	0	0	0	72	127	0	0
TRNAF-GAA	2	3	3	1	3	6	4	0	0
TGDS	294	333	256	326	474	51	67	164	185
GPR180	426	411	299	662	842	241	262	247	362
LOC111560128	0	0	0	0	2	202	163	0	0
SOX21	1	1	0	1	2	29	42	3	0
LOC111556548	0	2	1	2	1	53	61	2	0
LOC109498853	0	0	0	0	0	33	29	0	0
LOC109498862	0	0	0	0	0	19	31	0	0
ABCC4	462	531	419	841	1260	296	306	315	386
LOC111560130	0	1	0	0	1	10	21	0	0
CLDN10	2	1	0	4	1	43	79	0	1
DZIP1	2460	2646	2188	2827	4320	156	179	2633	3192
DNAJC3	6217	6504	5514	6432	8300	322	241	4360	5446
LOC109498873	5	4	5	4	6	24	41	4	5
UGGT2	3674	4301	3540	3880	5408	164	181	1902	2357
HS6ST3	0	2	1	0	0	163	225	3	0
LOC109498887	0	1	0	0	0	48	49	0	0
OXGR1	0	0	0	0	0	68	71	0	0
LOC111556794	0	0	0	0	0	0	0	0	0
MBNL2	3564	3752	3197	3881	5109	196	187	2401	2990
LOC111560143	16	7	4	15	8	78	76	6	12
RAP2A	1394	1661	1347	1897	2458	359	237	1391	1835
IPO5	18906	18242	14842	23076	30428	638	427	12938	16801
FARP1	3462	2658	2243	4122	5241	164	204	1856	2296
LOC111560147	5	0	1	0	0	4	7	1	1
LOC109498918	15	3	6	14	11	63	73	0	8
STK24	1214	1062	890	1406	2034	317	246	929	1033
LOC109492627	0	0	0	0	0	19	30	0	0
SLC15A1	1	0	0	0	0	183	222	0	0
DOCK9	1015	1967	1576	1246	2000	622	526	1416	1609
LOC109498988	3	3	2	1	3	67	78	0	3
LOC111560153	2	2	1	1	0	91	138	0	1
UBAC2	1047	1193	993	1133	1416	209	238	970	1321
GPR18	4	5	2	2	1	69	49	2	3
LOC101101025	8	0	8	1	2	36	36	1	0
TM9SF2	6700	7540	6155	6526	8513	198	148	4949	6163
CLYBL	197	267	206	266	422	157	151	210	253
LOC109499019	2	0	0	0	0	39	45	0	1
LOC111556737	0	0	0	1	0	2	8	0	0
ZIC5	0	0	0	0	0	41	39	0	0
LOC111560162	0	1	0	0	1	59	60	0	2
ZIC2	0	0	0	0	2	34	40	0	0
LOC109499045	0	0	0	0	0	37	45	0	0
PCCA	437	550	419	538	751	167	138	448	539
GGACT	168	275	198	285	349	182	171	206	245
LOC102901352	3	2	3	0	3	15	12	1	2
TMTC4	745	649	524	631	828	106	129	1319	1610
LOC111557002	0	0	0	0	0	2	4	0	0
LOC109499053	0	0	0	2	0	35	49	0	1
NALCN	5	6	4	2	6	295	348	125	135
ITGBL1	99	56	35	31	39	64	70	4349	4964
FGF14	8	2	0	12	3	180	178	197	205
TPP2	1627	1804	1518	2052	2905	335	354	1140	1409
LOC111560175	2	2	1	1	4	15	22	1	3
METTL21C	1	0	0	0	0	67	72	1	0
CCDC168	7	9	6	28	20	401	455	8	8
TEX30	180	170	141	260	411	90	63	116	127
LOC109499075	4	1	3	11	8	26	19	0	5
LOC109499083	1	1	0	2	3	16	20	1	0
KDELC1	654	775	604	1036	1394	123	98	464	517
LOC101085685	1522	1866	1404	1805	2394	316	286	1201	1577
LOC101085945	16	30	27	15	10	39	62	9	18
SLC10A2	0	1	0	2	1	58	85	0	0
LOC109499097	0	0	0	0	0	46	31	0	0
LOC109499098	0	0	0	1	0	28	30	0	0
LOC111560119	1	0	0	0	0	17	25	0	0
