X1	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC4MINUS	MischiefMinus	X2654MINUS
LOC111559476	5	1	1	1	2	1	2	1	0	1	0
LOC102901461	30	20	16	16	20	38	253	314	166	79	265
RPL21	12099	11564	12943	7464	2627	8946	9748	10149	9099	287	6238
LOC111557008	35	33	39	24	12	38	10	2	12	2	7
LOC111557034	84	59	66	43	21	101	17	19	34	32	7
RASL11A	22	14	39	21	3	20	2382	1797	4477	20	1509
LOC109496221	1	3	2	2	5	0	2	0	1	21	0
GTF3A	847	819	996	534	174	632	758	857	1033	100	507
MTIF3	144	144	150	95	37	104	212	171	187	50	100
LOC111559484	0	0	0	2	0	2	1	0	2	7	0
LOC109496316	13	8	8	7	5	10	29	24	22	21	9
LNX2	603	669	507	401	155	434	525	576	600	182	361
POLR1D	810	969	986	543	185	630	387	353	418	27	286
LOC111559488	646	843	851	529	230	606	536	635	511	23	431
GSX1	2	0	0	0	3	0	0	0	0	7	0
PDX1	2	2	0	1	3	1	0	0	0	38	0
CDX2	3	1	2	0	9	0	0	0	1	38	0
URAD	1	0	0	0	0	0	0	0	0	9	0
FLT3	130	181	243	46	60	68	0	1	0	188	1
LOC109496442	32	22	20	24	18	23	1	2	3	34	2
LOC102901710	37	14	32	16	7	19	10	1	1	16	1
PAN3	4504	3157	3745	2928	1000	2564	728	849	795	258	457
FLT1	69	26	35	39	39	41	61	248	12	277	1075
LOC102901737	43	23	41	29	18	30	1	1	4	11	3
LOC111559501	1	0	1	0	2	0	0	19	0	6	1
POMP	930	913	1024	540	223	817	2028	2186	2232	33	1751
SLC46A3	856	689	876	615	244	571	27	86	33	55	70
MTUS2	47	36	55	63	25	19	1	10	3	176	5
LOC109496599	1	3	2	0	4	2	0	1	0	9	0
LOC109496695	2	0	0	5	6	1	0	0	0	16	1
SLC7A1	687	497	561	693	181	408	1747	2214	2371	174	1101
LOC109496642	80	50	87	172	38	60	24	18	30	115	12
LOC109496619	0	0	0	0	1	0	0	0	0	3	0
LOC109496645	2	0	0	1	6	0	0	0	0	41	0
LOC111559507	1	0	1	1	1	0	0	0	0	69	0
LOC109496768	84	56	64	31	18	74	0	0	0	92	1
LOC109496710	318	147	213	141	67	205	0	1	0	90	0
UBL3	3441	2787	3196	1940	709	2203	2034	2695	2483	104	924
LOC109496855	3	2	9	5	7	1	0	4	0	47	0
LOC111559546	0	0	1	0	6	0	0	0	0	29	0
KATNAL1	115	117	156	98	28	73	149	159	227	101	142
LOC102902205	9	18	15	16	9	11	12	29	23	75	18
LOC111559516	43	48	40	61	27	31	5	1	1	72	1
LOC109497259	167	150	117	82	39	91	9	22	6	61	8
HMGB1	9201	8438	9037	4285	1437	6515	3513	3177	3469	1845	2130
LOC109497262	5	2	2	4	8	1	1	0	0	92	2
LOC109497264	18	11	14	9	17	16	15	18	20	136	12
USPL1	547	578	493	394	192	276	138	149	138	143	118
TRNAN-GUU	0	0	0	0	0	0	3	3	5	4	3
LOC111559523	0	0	0	2	14	4	4	1	2	42	0
ALOX5AP	476	223	527	246	138	305	0	0	0	98	0
LOC109497268	14	10	11	6	8	1	0	0	0	17	0
LOC102902594	0	1	1	2	6	0	7	33	4	21	14
LOC109492552	1	0	0	2	5	3	0	4	0	26	0
LOC109497270	1	0	0	0	2	0	19	13	25	4	17
MEDAG	2	4	1	3	5	1	10786	7931	10944	33	5543
LOC111559528	3	4	4	4	18	2	155	66	76	127	42
LOC109497286	0	0	0	0	1	0	0	0	0	23	0
TEX26	1	1	2	3	12	0	0	1	0	24	0
LOC111559529	0	0	0	2	5	3	0	0	0	27	0
LOC111559531	1	2	2	2	7	0	0	0	0	45	0
LOC109497276	2	2	2	1	10	1	0	0	0	55	0
LOC102900692	0	1	2	2	2	0	0	0	0	14	0
LOC102899076	1	1	2	0	8	0	0	0	2	53	0
HSPH1	1530	877	851	366	182	766	1942	1560	2284	249	1057
LOC102899192	25	15	12	5	5	5	9	3	7	2	0
LOC109497283	3	1	0	2	1	1	1	0	0	26	0
LOC111559537	67	64	90	53	17	36	232	135	194	27	46
B3GLCT	337	357	364	195	91	158	1091	876	1102	109	690
LOC109497302	7	4	9	7	6	4	2	2	3	68	2
LOC109497301	63	54	49	36	37	20	11	9	11	100	2
LOC105260585	2	0	1	1	9	2	0	0	0	48	0
LOC109497305	0	0	0	0	1	0	0	0	0	2	0
RXFP2	4	3	1	0	10	4	3	5	0	93	0
FRY	8530	8675	9901	6161	2490	8867	1237	653	934	487	624
LOC102901028	527	931	884	578	198	450	6	2	0	34	1
LOC109497331	3	1	2	3	2	0	0	0	0	7	0
LOC109497337	63	41	80	38	34	75	4	2	4	83	5
ZAR1L	25	29	18	20	18	31	0	5	6	55	0
BRCA2	190	125	156	110	71	81	58	52	85	290	27
N4BP2L1	749	692	746	415	133	472	92	122	54	34	66
N4BP2L2	2301	2200	2235	1089	430	1492	1641	2104	1558	124	1113
PDS5B	1360	894	1082	1127	360	691	567	678	673	423	293
LOC109497366	2	3	2	4	8	0	0	0	0	74	0
LOC109497357	4	3	1	5	15	3	0	0	0	32	0
KL	62	8	57	11	18	253	0	0	0	59	0
LOC109497379	6	0	4	1	10	11	0	0	0	13	0
LOC109497405	3	1	0	0	2	3	0	0	1	34	1
STARD13	274	328	238	124	77	247	766	733	1496	255	723
LOC109497406	9	4	10	3	2	1	1	0	2	16	2
LOC111559553	15	13	11	4	3	3	3	2	6	25	5
LOC111559555	4	6	6	2	10	3	0	0	0	19	0
RFC3	159	157	187	91	33	122	236	266	285	79	126
LOC109497412	4	0	1	1	2	3	0	0	0	16	0
LOC109497409	0	1	0	0	4	3	0	1	1	26	0
LOC111559557	1	0	2	2	2	0	0	0	0	18	0
LOC109497407	1	0	0	1	2	3	0	0	0	29	0
LOC109497422	1	0	1	3	3	5	0	0	0	24	0
LOC109497423	1	0	0	0	4	0	0	0	0	26	0
LOC102901791	58	70	59	48	21	37	11	11	9	37	8
NBEA	15919	14757	17586	11190	4894	11431	840	1299	876	253	735
LOC101083390	18	4	8	28	15	7	3	3	4	39	4
MAB21L1	7	5	10	13	2	4	218	168	7	33	92
LOC109492555	1	0	2	1	1	0	0	0	0	24	0
DCLK1	3	4	3	6	20	2	1614	1449	1520	230	626
SOHLH2	1	0	2	2	12	1	162	890	88	44	3
LOC111559572	0	0	1	0	2	0	0	0	6	0	3
CCDC169	0	0	0	1	4	0	14	38	27	58	17
SPART	488	499	420	274	94	305	2850	2986	3396	100	1561
CCNA1	3	6	9	4	6	1	14	10	18	60	8
SERTM1	4	2	7	2	8	5	1	1	10	26	0
LOC109497469	1	1	1	3	7	0	2	8	0	116	0
RFXAP	535	557	464	213	108	321	294	393	423	45	179
SMAD9	14	12	11	0	17	6	2234	3330	1985	118	1139
ALG5	354	408	313	197	82	214	599	571	574	67	425
EXOSC8	162	169	161	116	45	144	162	151	186	57	86
SUPT20H	952	791	845	728	317	581	720	587	930	187	449
LOC111559720	3	1	0	2	1	1	5	15	4	20	2
POSTN	5	2	3	2	14	5	110027	74430	122240	81	75977
LOC109497540	0	1	0	0	4	1	23	27	24	6	8
TRPC4	2	9	3	4	18	3	1	0	1	196	0
LOC111557024	0	0	0	0	0	0	0	0	0	12	0
LOC109497541	1	1	0	2	2	1	1	0	0	16	0
LOC109492556	1	0	1	0	3	1	0	0	0	17	0
UFM1	1067	1082	965	463	193	742	1840	2065	1944	112	1389
FREM2	26	14	37	21	57	17	20	35	11	321	36
STOML3	6	0	1	6	3	1	1	0	0	51	0
LOC111557022	0	0	0	2	0	0	0	0	0	1	0
PROSER1	331	221	257	267	108	132	57	56	68	189	44
NHLRC3	972	758	802	349	172	467	1453	1752	1717	164	1049
LOC109492559	1	0	1	1	2	0	0	0	0	7	0
LOC111559741	0	0	0	0	4	0	10	1	2	25	1
LHFPL6	6	5	8	1	6	1	4966	9493	3577	90	8504
COG6	1326	1406	1396	817	329	1031	1234	1940	2126	142	1058
LOC109497583	19	12	15	4	8	12	0	0	0	75	0
LOC109497589	4	3	9	3	10	11	0	0	0	21	1
LOC109492560	1	0	0	3	2	1	0	0	0	20	0
LOC109497596	316	263	210	101	73	141	3	8	2	130	4
LOC109497598	25	13	26	14	13	18	0	0	0	45	0
LOC109497603	12	10	12	6	14	21	0	0	2	61	0
LOC109497600	4	9	3	0	2	2	0	0	0	10	0
FOXO1	3546	1893	2327	3421	1011	2057	309	320	281	226	338
MRPS31	741	725	675	313	145	493	878	1159	885	174	724
SLC25A15	40	39	37	32	11	28	203	165	380	122	221
LOC101096867	4	4	3	3	18	1	0	4	2	120	1
THSD1	17	8	15	11	14	13	51	87	96	96	19
LOC111556783	0	0	1	1	2	0	0	0	0	0	0
VPS36	766	575	808	786	266	550	969	1188	1336	230	900
CKAP2	125	122	163	176	42	130	192	77	178	131	77
NEK3	237	330	277	189	66	198	205	259	452	78	222
NEK5	51	26	36	33	35	32	37	40	39	243	43
LOC109497673	1	0	3	0	3	3	1	0	1	6	0
ALG11	197	158	192	121	47	124	297	258	306	60	208
ATP7B	239	169	241	93	88	242	84	43	183	290	70
CCDC70	0	0	0	0	5	1	0	1	0	58	0
DHRS12	203	82	178	59	52	101	31	36	59	103	24
WDFY2	567	344	575	272	152	318	409	511	618	108	297
LOC102900676	20	12	14	15	12	8	2	0	1	78	0
LOC111556827	0	0	0	0	1	0	0	0	0	2	0
INTS6	2502	2363	2408	1225	490	1584	998	884	1080	200	725
SERPINE3	74	84	66	28	16	48	13	6	13	64	17
LOC109497734	9	3	2	3	3	2	2	5	8	58	2
LOC105260724	1	1	0	1	1	0	0	0	0	6	0
FAM124A	26	53	29	16	33	25	18	19	13	125	20
LOC109498200	0	0	4	0	5	0	0	0	0	59	0
LOC102900780	5	1	3	3	13	1	0	1	0	123	1
LOC101098598	5	1	1	0	4	1	1	0	0	68	0
LOC111559776	0	1	1	0	0	0	0	0	0	23	0
LOC111559777	7	1	7	6	19	4	1	1	0	113	0
RNASEH2B	523	461	590	253	117	359	476	395	508	194	185
TRNAK-CUU	0	1	0	1	0	0	0	0	0	11	0
DLEU7	10	1	5	3	24	5	0	0	0	77	0
LOC109497901	3	1	0	3	2	0	0	0	0	24	0
LOC111556929	0	0	0	0	0	0	0	0	0	0	0
LOC111556704	0	0	0	0	0	0	0	0	0	2	0
LOC102900852	401	289	464	402	123	236	115	71	94	96	29
LOC109497907	259	100	211	214	61	80	35	18	21	82	8
KCNRG	21	13	19	30	19	8	10	9	12	19	8
TRIM13	58	50	62	46	21	28	139	150	110	41	72
SPRYD7	319	275	246	165	58	190	368	420	383	114	239
LOC109497902	5	9	15	5	9	6	0	0	0	31	0
KPNA3	1298	1027	1035	940	343	768	1308	1563	1534	156	950
EBPL	166	133	145	120	47	100	196	194	158	22	123
RCBTB1	1593	1573	1447	686	311	922	510	752	702	325	375
ARL11	419	411	462	195	110	287	0	1	1	49	1
LOC101100105	1503	1366	1272	882	408	1077	399	560	457	258	372
CAB39L	802	908	868	578	233	681	762	1186	761	93	534
LOC109497890	983	945	755	376	182	527	228	348	237	38	178
CDADC1	1919	1981	1604	790	413	1222	658	809	635	188	529
LOC102901569	9	14	9	3	8	16	42	80	47	58	1
MLNR	0	0	0	0	4	0	2	1	3	25	1
FNDC3A	2061	1784	1884	987	385	1211	1928	2666	1706	255	1403
LOC105260363	19	12	13	28	21	10	7	5	0	21	0
CYSLTR2	202	47	202	52	54	61	26	110	23	157	6
LOC109497974	0	0	2	2	6	2	1	0	0	31	0
LOC111556256	1	0	1	1	2	0	0	0	0	24	0
RCBTB2	1963	1963	2090	1108	414	1753	1332	2205	1569	149	836
RB1	1482	1185	1477	1065	398	974	364	566	611	314	291
LPAR6	368	230	486	156	103	281	104	117	85	20	59
LOC111559794	3	1	2	1	1	4	0	1	2	32	0
ITM2B	12082	13524	14965	8140	3675	10039	14757	22588	12007	257	19910
LOC111556911	1	0	0	0	0	0	0	0	0	0	0
LOC109497981	2	0	2	1	12	1	0	0	0	60	1
MED4	515	571	522	304	99	413	317	475	337	124	253
NUDT15	367	339	384	186	64	285	244	391	258	55	364
SUCLA2	601	557	603	307	132	420	1439	1788	1817	115	1284
LOC109497998	8	13	9	6	7	13	14	2	8	81	0
HTR2A	502	372	431	173	141	393	0	58	1	49	1
LOC109498005	1	3	3	2	0	1	0	2	1	11	0
ESD	719	716	825	381	171	555	2015	2146	2195	34	1391
LRCH1	2158	1632	1904	1548	450	1304	607	681	672	344	607
LOC111559803	212	119	147	127	27	95	15	53	52	38	24
RUBCNL	2367	1078	1770	1855	479	1277	418	687	788	265	381
LRRC63	4	4	3	13	10	4	0	0	0	89	0
LCP1	20199	20852	19863	9023	3845	16028	1	111	0	5260	9
LOC109498029	0	0	3	0	2	1	0	0	0	1	0
CPB2	1	1	1	2	3	2	1	1	1	49	0
ZC3H13	2422	1941	2173	1318	487	1401	1096	1139	1237	996	741
LOC109498060	1	0	1	2	4	1	1	0	0	32	0
LOC109498054	0	0	1	1	2	0	0	0	0	31	0
SIAH3	4	2	0	1	5	0	0	0	0	60	0
SPERT	2	1	3	0	6	0	0	0	0	28	0
LOC111559815	1	1	2	0	3	0	0	0	0	21	0
LOC111559816	0	0	0	4	4	0	0	0	0	6	0
ERICH6B	5	3	2	1	12	2	0	2	1	127	0
LOC109498055	2	2	0	0	3	2	0	0	0	14	0
COG3	1770	1512	1712	1037	388	1355	1175	1331	1398	221	783
SLC25A30	624	735	623	333	131	362	1563	1372	940	89	1074
LOC109498076	4	2	2	2	7	0	3	6	1	10	2
LOC109498069	1	1	1	2	3	5	0	0	2	12	0
TPT1	59689	52696	74054	40744	14771	49716	47835	47424	46364	2068	34489
LOC111557013	76	55	69	35	26	68	18	64	38	2	11
LOC111557014	22	19	11	11	5	27	11	12	8	27	2
LOC109498077	1	0	1	1	2	1	1	1	0	19	0
LOC111559737	0	0	1	1	1	0	1	0	2	31	0
GTF2F2	273	225	273	188	76	217	279	311	344	123	219
KCTD4	14	9	9	40	6	2	2	1	1	14	0
GPALPP1	608	582	559	373	164	397	459	457	550	190	328
NUFIP1	237	227	184	118	61	143	308	289	353	83	163
LOC101085341	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC_1	0	0	0	1	1	0	0	0	1	20	0
LOC111559826	1	0	0	0	3	0	0	0	0	36	0
LOC109498105	0	0	3	0	4	0	2	5	0	12	0
TSC22D1	1448	1102	1264	819	350	1013	2381	3330	2565	231	2143
LOC109498118	4	0	0	1	12	1	0	0	0	96	0
SERP2	1	0	2	1	7	1	52	85	58	33	30
SMIM2	0	0	3	0	1	0	0	2	0	15	0
LOC109498125	2	0	1	0	5	1	3	3	4	31	1
LOC111559743	0	0	0	1	0	0	0	0	0	33	0
LOC102900805	3	1	4	7	14	1	0	0	0	73	0
LACC1	963	754	920	675	228	663	326	325	310	183	182
CCDC122	107	75	93	82	31	85	9	66	41	26	9
ENOX1	567	332	663	576	164	341	265	257	147	174	143
LOC109498151	11	2	12	16	3	4	0	1	0	46	0
DNAJC15	235	219	299	164	55	171	1296	806	1130	90	1052
EPSTI1	3779	6753	3556	1561	1182	3658	5	5	3	183	8
LOC109498166	385	651	251	154	163	328	0	0	0	22	0
FAM216B	13	12	6	12	26	18	1	0	0	21	0
LOC109498172	8	16	7	7	8	11	0	0	0	53	0
LOC109498170	3	11	7	2	3	3	0	0	0	23	0
TNFSF11	50	48	50	18	9	48	1	0	0	44	0
AKAP11	1507	1114	1231	1157	427	828	2030	2384	2455	379	942
LOC111559850	0	1	2	7	13	1	0	0	0	44	1
DGKH	4049	3313	4275	2602	1141	3008	929	1805	1824	301	981
VWA8	845	704	783	533	271	533	1235	2358	1939	369	1109
LOC109498198	15	7	18	12	20	5	0	0	0	82	0
RGCC	901	995	966	296	120	681	39	198	27	103	1244
NAA16	2008	1496	1571	887	344	910	440	544	501	173	244
MTRF1	549	553	469	140	88	336	217	295	229	80	160
LOC101088295	330	329	311	104	53	240	424	632	519	92	348
LOC101090830	248	281	224	85	49	156	446	655	669	79	421
WBP4	484	508	468	275	121	269	583	573	649	85	369
ELF1	5017	5376	4469	2832	1067	3608	1224	1468	1314	366	570
TRNAE-UUC_2	0	0	1	0	1	1	0	0	1	1	0
LOC109498230	224	219	190	154	58	184	50	61	60	48	31
SUGT1	808	694	752	388	146	494	1541	1446	1640	98	1004
CNMD	33	15	29	27	14	10	15	6	9	52	7
LOC101091586	3	1	1	3	6	0	0	0	0	68	0
LOC109498231	0	2	0	1	4	0	0	0	0	30	1
OLFM4	6	1	1	2	8	2	0	0	0	135	0
LOC102901843	0	0	0	1	6	0	0	0	0	52	0
LOC111556289	5	3	2	4	5	0	0	0	0	47	0
LOC102901884	0	0	0	0	2	1	0	0	0	18	0
LOC111559868	0	0	1	0	3	0	0	0	0	58	0
LOC102901923	0	0	0	0	0	0	0	0	0	21	0
LOC111556986	0	0	0	0	0	0	0	0	0	0	0
LOC109492563	0	0	0	0	5	0	0	0	0	68	0
LOC109498248	0	1	0	1	7	0	0	0	0	16	0
LOC109498249	0	1	1	1	4	3	0	0	0	18	0
LOC111556964	0	0	0	0	1	0	0	0	0	1	0
LOC111556987	0	0	0	0	0	0	0	0	0	0	0
LOC111556764	0	0	1	0	0	0	0	0	0	2	0
PCDH17	50	135	53	58	76	303	14	17	12	140	14
LOC111559874	3	2	3	0	9	6	0	0	0	31	0
LOC111559877	22	25	14	10	11	7	30	45	0	65	0
LOC111559879	0	1	0	0	1	0	0	0	0	14	0
LOC109498269	0	0	0	1	1	0	0	0	0	3	0
DIAPH3	58	47	69	51	45	46	46	2	26	196	3
LOC109498288	1	0	0	2	3	0	0	0	0	14	0
TDRD3	773	591	840	494	209	375	310	292	456	160	203
LOC111557080	0	0	0	0	0	0	0	0	0	12	0
LOC109492570	0	1	1	0	0	0	0	0	0	14	0
PCDH20	1	3	0	2	5	0	4	1	3	42	5
LOC109498314	0	0	0	0	0	0	0	0	0	17	0
LOC109492573	0	0	1	0	0	1	0	0	0	27	0
LOC111556957	0	0	0	0	0	0	0	0	0	0	0
LOC111556975	0	0	0	0	0	0	0	0	0	8	0
LOC111559890	2	0	0	1	4	1	0	0	0	9	0
LOC109498326	1	0	0	1	6	0	0	0	0	59	0
LOC111556747	0	0	0	0	0	0	0	0	0	0	0
LOC109492581	3	0	0	0	1	0	0	0	0	19	0
LOC111559810	0	0	0	0	1	0	0	0	0	3	0
PCDH9	96	93	50	92	41	124	1420	3491	1650	117	1586
LOC109498345	0	2	5	1	6	2	2	14	6	65	1
LOC109492584	2	0	0	0	1	0	0	0	0	20	0
LOC109492592	0	0	1	0	0	0	0	0	0	1	0
LOC111557037	0	0	0	0	0	0	0	0	0	3	0
LOC101100024	1	0	0	0	2	1	0	0	0	16	0
LOC111559836	1	0	0	0	1	0	0	0	0	7	0
KLHL1	2	5	2	4	7	0	0	0	2	56	1
LOC111556923	0	0	0	0	0	0	0	0	0	7	0
DACH1	37	37	42	37	26	37	1	0	0	102	0
LOC109492597	0	0	1	1	0	0	0	0	0	6	0
MZT1	804	877	817	350	183	591	1130	1287	1216	75	582
BORA	380	449	387	212	92	358	85	72	84	107	56
DIS3	1040	1014	940	466	188	758	636	731	812	173	354
PIBF1	317	328	328	234	99	267	263	439	342	43	193
KLF5	133	86	95	107	42	89	78	99	61	59	228
LOC109498494	0	0	0	0	1	0	0	0	0	19	1
KLF12	1550	1236	1203	830	325	830	912	842	1136	183	443
LOC109498474	81	38	58	58	25	12	8	7	6	91	2
LOC109498477	18	6	25	30	12	17	5	4	8	16	3
LOC109498473	0	1	2	2	12	5	8	24	12	56	9
TBC1D4	1983	3019	1789	1185	456	1663	2319	1996	2702	164	1437
UCHL3	314	323	346	163	64	278	2164	2397	2786	88	1508
COMMD6	159	183	177	83	32	139	366	420	424	25	218
LMO7	24	23	32	12	33	33	5768	11293	4247	287	8800
LOC109498550	0	0	1	3	4	0	16	17	8	25	17
LOC109498616	0	0	1	0	3	0	6	8	0	27	12
LOC109498606	1	0	0	1	1	0	3	2	0	22	0
LOC111556749	0	0	0	0	1	0	0	0	0	2	0
LOC111560078	2	1	4	0	4	0	0	0	0	46	0
LOC111559858	3	3	0	2	10	4	1	1	0	47	0
KCTD12	4780	2239	5761	2661	1800	3752	4590	3733	4994	84	790
ACOD1	7	0	11	3	12	12	0	0	0	67	0
CLN5	1383	888	1358	552	279	822	2199	2908	2261	146	1623
FBXL3	1989	1539	1403	691	297	1089	1355	1502	1352	93	751
LOC109498698	104	87	108	92	46	61	45	20	27	76	7
MYCBP2	7843	8190	6840	4861	2153	6001	6036	7966	7344	952	7818
SCEL	83	8	29	34	24	3	22	28	19	185	42
LOC109498704	0	0	1	0	2	0	0	1	0	7	0
SLAIN1	909	1209	954	472	156	714	1	3	0	131	1
EDNRB	4	1	4	8	9	1	410	479	304	123	2150
LOC109492603	0	2	0	0	1	0	0	0	0	4	0
LOC109498710	0	1	3	2	18	2	0	0	1	99	0
POU4F1	4	15	1	4	6	1	1	0	0	28	0
RNF219	491	611	428	207	106	344	633	675	667	97	383
LOC109498732	39	36	46	25	15	26	2	2	3	26	2
LOC109498727	2	7	2	2	1	0	3	4	1	72	1
LOC109498734	2	1	1	1	12	1	0	0	0	66	0
RBM26	2968	2262	2258	1486	593	1552	945	1081	1113	336	527
NDFIP2	2944	3524	3247	1688	744	2755	1982	1911	1974	238	1276
LOC109498753	30	6	13	19	8	4	1	0	1	33	0
LOC109498754	1	0	1	1	3	2	0	0	0	52	0
LOC109498764	0	0	0	1	3	1	0	0	0	19	0
LOC109498761	1	1	2	2	10	2	0	0	0	16	0
LOC109492605	0	0	1	0	0	0	0	0	0	11	0
LOC109498776	0	0	0	0	3	0	1	0	1	11	2
SPRY2	17	12	23	9	2	8	368	517	300	42	330
LOC111560110	3	0	2	3	4	2	21	22	9	40	33
LOC111556774	0	0	0	0	0	0	0	0	0	0	0
LOC109498777	0	1	0	0	2	0	0	0	0	14	0
LOC109492609	0	0	0	1	1	1	0	0	0	12	0
LOC109498787	0	0	0	0	5	1	0	0	0	18	0
LOC109498786	2	1	1	2	10	3	0	0	0	22	0
LOC111556984	0	0	0	0	0	0	0	0	0	2	0
LOC111556727	0	0	0	0	0	0	0	0	0	3	0
LOC111560115	1	1	0	1	7	3	0	0	0	51	0
SLITRK1	0	0	0	2	4	0	0	0	0	65	0
LOC111560117	0	0	0	0	0	0	0	0	0	5	0
LOC111556999	0	0	0	0	0	0	0	0	0	3	0
LOC111560056	0	0	1	0	0	0	0	1	0	2	0
SLITRK6	4	1	1	3	4	1	1	5	0	34	2
LOC111560120	0	0	0	0	3	1	0	0	0	12	0
LOC109498813	3	3	1	2	14	1	0	0	0	23	0
SLITRK5	5	0	1	0	13	3	10	3	8	108	0
LOC101093984	0	1	2	0	1	1	1	0	0	12	0
LOC111556882	0	0	0	0	1	0	0	0	0	4	0
