genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
LOC109494916	42	37	32	15	17	25	0	0	0	1	0	118	113	0	0
LOC109494931	1	0	0	1	5	0	0	0	0	0	0	66	89	0	0
LOC109494958	3	1	0	1	7	0	0	0	1	0	0	47	49	0	1
LOC111559449	4	1	5	3	9	3	0	2	0	0	0	69	78	0	0
AMER2	3	4	6	5	1	0	8	3	5	6	8	27	21	9	8
LOC109495032	8	3	3	2	17	1	0	0	0	1	0	64	70	0	0
LOC109495042	0	0	3	1	6	0	0	0	0	0	0	48	66	0	0
MTMR6	1269	1037	1243	702	251	760	2823	3752	2929	3487	4517	132	120	2268	2870
NUP58	833	622	668	378	141	495	871	960	765	1171	1499	182	133	578	765
LOC111559502	0	0	0	0	9	0	0	0	0	0	0	17	31	0	0
LOC101085594	10	8	7	9	37	7	0	4	1	1	0	320	353	0	0
LOC109495412	2	2	1	6	7	2	0	0	0	1	0	32	41	0	0
LOC111559455	3	2	1	3	15	1	0	0	0	1	0	80	97	0	0
SHISA2	16	0	2	11	5	8	3	41	41	9	16	66	72	4	8
LOC101096779	11	7	4	5	21	6	3	10	11	3	6	171	251	0	1
RNF6	742	659	665	312	138	557	948	919	747	1053	1467	157	191	538	632
CDK8	390	370	387	209	84	276	596	769	716	909	1121	113	88	609	769
LOC109495641	7	14	7	4	14	3	1	1	3	2	6	19	34	3	4
LOC109495885	2	4	1	0	8	3	1	0	0	0	0	41	59	2	1
WASF3	3	3	5	2	23	9	153	156	159	281	339	150	179	216	274
LOC111556724	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
LOC109495851	1	0	1	2	4	0	0	0	0	0	0	17	21	0	1
GPR12	3	0	0	0	0	2	0	0	0	0	0	35	53	0	0
USP12	970	866	833	604	221	811	2122	1864	1582	3636	4824	162	116	1224	1522
LOC109496069	35	25	43	21	10	29	4	8	3	8	15	15	10	0	5
LOC111559476	5	1	1	1	2	1	2	1	0	0	1	1	1	0	0
LOC102901461	30	20	16	16	20	38	253	314	286	166	208	79	88	265	334
RPL21	12099	11564	12943	7464	2627	8946	9748	10149	8024	9099	12595	287	154	6238	7554
LOC111557008	35	33	39	24	12	38	10	2	4	12	7	2	0	7	1
LOC111557034	84	59	66	43	21	101	17	19	6	34	31	32	7	7	7
RASL11A	22	14	39	21	3	20	2382	1797	1615	4477	5504	20	23	1509	1703
LOC109496221	1	3	2	2	5	0	2	0	0	1	1	21	35	0	0
GTF3A	847	819	996	534	174	632	758	857	678	1033	1298	100	73	507	676
MTIF3	144	144	150	95	37	104	212	171	185	187	251	50	23	100	98
LOC111559484	0	0	0	2	0	2	1	0	1	2	2	7	12	0	0
LOC109496316	13	8	8	7	5	10	29	24	15	22	29	21	26	9	13
LNX2	603	669	507	401	155	434	525	576	446	600	721	182	176	361	488
POLR1D	810	969	986	543	185	630	387	353	259	418	531	27	19	286	357
LOC111559488	646	843	851	529	230	606	536	635	551	511	577	23	13	431	597
GSX1	2	0	0	0	3	0	0	0	0	0	0	7	19	0	0
PDX1	2	2	0	1	3	1	0	0	0	0	0	38	38	0	0
CDX2	3	1	2	0	9	0	0	0	0	1	0	38	47	0	0
URAD	1	0	0	0	0	0	0	0	1	0	0	9	11	0	0
FLT3	130	181	243	46	60	68	0	1	2	0	2	188	221	1	4
LOC109496442	32	22	20	24	18	23	1	2	2	3	2	34	48	2	0
LOC102901710	37	14	32	16	7	19	10	1	2	1	3	16	36	1	2
PAN3	4504	3157	3745	2928	1000	2564	728	849	602	795	1047	258	214	457	650
FLT1	69	26	35	39	39	41	61	248	240	12	18	277	270	1075	1304
LOC102901737	43	23	41	29	18	30	1	1	0	4	6	11	29	3	2
LOC111559501	1	0	1	0	2	0	0	19	7	0	2	6	6	1	6
POMP	930	913	1024	540	223	817	2028	2186	1681	2232	3398	33	46	1751	1976
SLC46A3	856	689	876	615	244	571	27	86	80	33	37	55	57	70	91
MTUS2	47	36	55	63	25	19	1	10	11	3	5	176	194	5	5
LOC109496599	1	3	2	0	4	2	0	1	0	0	0	9	12	0	0
LOC109496695	2	0	0	5	6	1	0	0	1	0	0	16	23	1	0
SLC7A1	687	497	561	693	181	408	1747	2214	1973	2371	2974	174	177	1101	1270
LOC109496642	80	50	87	172	38	60	24	18	10	30	25	115	129	12	13
LOC109496619	0	0	0	0	1	0	0	0	0	0	0	3	11	0	0
LOC109496645	2	0	0	1	6	0	0	0	0	0	0	41	52	0	0
LOC111559507	1	0	1	1	1	0	0	0	0	0	0	69	64	0	0
LOC109496768	84	56	64	31	18	74	0	0	0	0	0	92	67	1	0
LOC109496710	318	147	213	141	67	205	0	1	0	0	0	90	136	0	0
UBL3	3441	2787	3196	1940	709	2203	2034	2695	2209	2483	3049	104	88	924	1198
LOC109496855	3	2	9	5	7	1	0	4	0	0	0	47	57	0	0
LOC111559546	0	0	1	0	6	0	0	0	0	0	0	29	29	0	0
KATNAL1	115	117	156	98	28	73	149	159	120	227	328	101	116	142	155
LOC102902205	9	18	15	16	9	11	12	29	34	23	23	75	71	18	11
LOC111559516	43	48	40	61	27	31	5	1	0	1	2	72	73	1	2
LOC109497259	167	150	117	82	39	91	9	22	10	6	4	61	76	8	3
HMGB1	9201	8438	9037	4285	1437	6515	3513	3177	2414	3469	4504	1845	1050	2130	2597
LOC109497262	5	2	2	4	8	1	1	0	0	0	3	92	104	2	2
LOC109497264	18	11	14	9	17	16	15	18	17	20	20	136	134	12	17
USPL1	547	578	493	394	192	276	138	149	112	138	202	143	137	118	115
TRNAN-GUU	0	0	0	0	0	0	3	3	11	5	4	4	11	3	1
LOC111559523	0	0	0	2	14	4	4	1	1	2	3	42	79	0	0
ALOX5AP	476	223	527	246	138	305	0	0	0	0	0	98	106	0	0
LOC109497268	14	10	11	6	8	1	0	0	0	0	0	17	25	0	0
LOC102902594	0	1	1	2	6	0	7	33	21	4	8	21	50	14	10
LOC109492552	1	0	0	2	5	3	0	4	1	0	0	26	33	0	0
LOC109497270	1	0	0	0	2	0	19	13	8	25	42	4	24	17	12
MEDAG	2	4	1	3	5	1	10786	7931	6780	10944	13661	33	47	5543	7321
LOC111559528	3	4	4	4	18	2	155	66	51	76	112	127	153	42	58
LOC109497286	0	0	0	0	1	0	0	0	0	0	0	23	21	0	0
TEX26	1	1	2	3	12	0	0	1	0	0	1	24	22	0	0
LOC111559529	0	0	0	2	5	3	0	0	0	0	0	27	32	0	0
LOC111559531	1	2	2	2	7	0	0	0	0	0	0	45	79	0	0
LOC109497276	2	2	2	1	10	1	0	0	0	0	0	55	67	0	0
LOC102900692	0	1	2	2	2	0	0	0	0	0	0	14	33	0	0
LOC102899076	1	1	2	0	8	0	0	0	0	2	0	53	41	0	0
HSPH1	1530	877	851	366	182	766	1942	1560	1295	2284	3236	249	197	1057	1235
LOC102899192	25	15	12	5	5	5	9	3	3	7	3	2	2	0	1
LOC109497283	3	1	0	2	1	1	1	0	0	0	0	26	14	0	0
LOC111559537	67	64	90	53	17	36	232	135	111	194	218	27	36	46	61
B3GLCT	337	357	364	195	91	158	1091	876	708	1102	1607	109	138	690	769
LOC109497302	7	4	9	7	6	4	2	2	0	3	4	68	96	2	2
LOC109497301	63	54	49	36	37	20	11	9	6	11	14	100	124	2	6
LOC105260585	2	0	1	1	9	2	0	0	1	0	0	48	40	0	0
LOC109497305	0	0	0	0	1	0	0	0	0	0	0	2	6	0	0
RXFP2	4	3	1	0	10	4	3	5	1	0	2	93	143	0	0
FRY	8530	8675	9901	6161	2490	8867	1237	653	500	934	1226	487	627	624	690
LOC102901028	527	931	884	578	198	450	6	2	0	0	0	34	40	1	1
LOC109497331	3	1	2	3	2	0	0	0	0	0	0	7	17	0	0
LOC109497337	63	41	80	38	34	75	4	2	3	4	7	83	120	5	2
ZAR1L	25	29	18	20	18	31	0	5	3	6	4	55	62	0	0
BRCA2	190	125	156	110	71	81	58	52	55	85	77	290	258	27	33
N4BP2L1	749	692	746	415	133	472	92	122	106	54	68	34	32	66	128
N4BP2L2	2301	2200	2235	1089	430	1492	1641	2104	1702	1558	2106	124	112	1113	1429
PDS5B	1360	894	1082	1127	360	691	567	678	537	673	869	423	352	293	285
LOC109497366	2	3	2	4	8	0	0	0	0	0	0	74	101	0	0
LOC109497357	4	3	1	5	15	3	0	0	1	0	1	32	34	0	0
KL	62	8	57	11	18	253	0	0	0	0	3	59	43	0	3
LOC109497379	6	0	4	1	10	11	0	0	0	0	0	13	8	0	0
LOC109497405	3	1	0	0	2	3	0	0	1	1	0	34	48	1	0
STARD13	274	328	238	124	77	247	766	733	670	1496	2131	255	294	723	798
LOC109497406	9	4	10	3	2	1	1	0	1	2	4	16	10	2	2
LOC111559553	15	13	11	4	3	3	3	2	1	6	8	25	46	5	3
LOC111559555	4	6	6	2	10	3	0	0	1	0	2	19	31	0	0
RFC3	159	157	187	91	33	122	236	266	182	285	436	79	107	126	144
LOC109497412	4	0	1	1	2	3	0	0	0	0	0	16	22	0	0
LOC109497409	0	1	0	0	4	3	0	1	0	1	0	26	13	0	0
LOC111559557	1	0	2	2	2	0	0	0	0	0	0	18	16	0	0
LOC109497407	1	0	0	1	2	3	0	0	1	0	0	29	49	0	2
LOC109497422	1	0	1	3	3	5	0	0	1	0	0	24	24	0	2
LOC109497423	1	0	0	0	4	0	0	0	0	0	0	26	26	0	0
LOC102901791	58	70	59	48	21	37	11	11	20	9	12	37	61	8	11
NBEA	15919	14757	17586	11190	4894	11431	840	1299	992	876	1089	253	298	735	777
LOC101083390	18	4	8	28	15	7	3	3	3	4	1	39	35	4	8
MAB21L1	7	5	10	13	2	4	218	168	169	7	6	33	35	92	81
LOC109492555	1	0	2	1	1	0	0	0	0	0	0	24	32	0	0
DCLK1	3	4	3	6	20	2	1614	1449	1386	1520	2122	230	290	626	754
SOHLH2	1	0	2	2	12	1	162	890	689	88	125	44	57	3	3
LOC111559572	0	0	1	0	2	0	0	0	3	6	5	0	0	3	5
CCDC169	0	0	0	1	4	0	14	38	19	27	45	58	81	17	24
SPART	488	499	420	274	94	305	2850	2986	2390	3396	4481	100	125	1561	2242
CCNA1	3	6	9	4	6	1	14	10	7	18	27	60	69	8	4
SERTM1	4	2	7	2	8	5	1	1	3	10	8	26	42	0	0
LOC109497469	1	1	1	3	7	0	2	8	1	0	2	116	122	0	0
RFXAP	535	557	464	213	108	321	294	393	285	423	580	45	45	179	223
SMAD9	14	12	11	0	17	6	2234	3330	2742	1985	2525	118	115	1139	1391
ALG5	354	408	313	197	82	214	599	571	425	574	844	67	69	425	540
EXOSC8	162	169	161	116	45	144	162	151	95	186	247	57	65	86	121
SUPT20H	952	791	845	728	317	581	720	587	440	930	1314	187	157	449	512
LOC111559720	3	1	0	2	1	1	5	15	15	4	6	20	15	2	4
POSTN	5	2	3	2	14	5	110027	74430	60916	122240	169968	81	100	75977	99205
LOC109497540	0	1	0	0	4	1	23	27	13	24	48	6	14	8	13
TRPC4	2	9	3	4	18	3	1	0	0	1	0	196	251	0	0
LOC111557024	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0
LOC109497541	1	1	0	2	2	1	1	0	0	0	0	16	15	0	0
LOC109492556	1	0	1	0	3	1	0	0	0	0	0	17	28	0	0
UFM1	1067	1082	965	463	193	742	1840	2065	1654	1944	2605	112	85	1389	1870
FREM2	26	14	37	21	57	17	20	35	33	11	11	321	382	36	39
STOML3	6	0	1	6	3	1	1	0	1	0	0	51	75	0	0
LOC111557022	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0
PROSER1	331	221	257	267	108	132	57	56	60	68	111	189	128	44	41
NHLRC3	972	758	802	349	172	467	1453	1752	1343	1717	2296	164	142	1049	1385
LOC109492559	1	0	1	1	2	0	0	0	0	0	0	7	12	0	2
LOC111559741	0	0	0	0	4	0	10	1	0	2	2	25	17	1	2
LHFPL6	6	5	8	1	6	1	4966	9493	7481	3577	4582	90	117	8504	9479
COG6	1326	1406	1396	817	329	1031	1234	1940	1552	2126	2863	142	128	1058	1359
LOC109497583	19	12	15	4	8	12	0	0	0	0	0	75	90	0	0
LOC109497589	4	3	9	3	10	11	0	0	1	0	0	21	20	1	0
LOC109492560	1	0	0	3	2	1	0	0	0	0	0	20	25	0	0
LOC109497596	316	263	210	101	73	141	3	8	6	2	4	130	151	4	7
LOC109497598	25	13	26	14	13	18	0	0	0	0	0	45	43	0	0
LOC109497603	12	10	12	6	14	21	0	0	0	2	0	61	72	0	0
LOC109497600	4	9	3	0	2	2	0	0	0	0	0	10	18	0	0
FOXO1	3546	1893	2327	3421	1011	2057	309	320	266	281	443	226	197	338	340
MRPS31	741	725	675	313	145	493	878	1159	904	885	1174	174	180	724	912
SLC25A15	40	39	37	32	11	28	203	165	135	380	524	122	190	221	268
LOC101096867	4	4	3	3	18	1	0	4	2	2	1	120	125	1	2
THSD1	17	8	15	11	14	13	51	87	83	96	86	96	148	19	14
LOC111556783	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0
VPS36	766	575	808	786	266	550	969	1188	956	1336	1981	230	183	900	930
CKAP2	125	122	163	176	42	130	192	77	66	178	249	131	108	77	111
NEK3	237	330	277	189	66	198	205	259	191	452	672	78	99	222	298
NEK5	51	26	36	33	35	32	37	40	16	39	53	243	295	43	25
LOC109497673	1	0	3	0	3	3	1	0	0	1	2	6	3	0	2
ALG11	197	158	192	121	47	124	297	258	211	306	414	60	50	208	247
ATP7B	239	169	241	93	88	242	84	43	32	183	197	290	324	70	109
CCDC70	0	0	0	0	5	1	0	1	0	0	0	58	64	0	0
DHRS12	203	82	178	59	52	101	31	36	29	59	56	103	108	24	30
WDFY2	567	344	575	272	152	318	409	511	447	618	726	108	113	297	374
LOC102900676	20	12	14	15	12	8	2	0	0	1	4	78	97	0	4
LOC111556827	0	0	0	0	1	0	0	0	2	0	0	2	2	0	0
INTS6	2502	2363	2408	1225	490	1584	998	884	693	1080	1434	200	184	725	895
SERPINE3	74	84	66	28	16	48	13	6	16	13	24	64	101	17	17
LOC109497734	9	3	2	3	3	2	2	5	4	8	6	58	74	2	1
LOC105260724	1	1	0	1	1	0	0	0	0	0	0	6	16	0	0
FAM124A	26	53	29	16	33	25	18	19	15	13	30	125	146	20	26
LOC109498200	0	0	4	0	5	0	0	0	0	0	0	59	83	0	0
LOC102900780	5	1	3	3	13	1	0	1	0	0	0	123	152	1	0
LOC101098598	5	1	1	0	4	1	1	0	0	0	0	68	67	0	0
LOC111559776	0	1	1	0	0	0	0	0	0	0	0	23	26	0	0
LOC111559777	7	1	7	6	19	4	1	1	0	0	0	113	87	0	0
RNASEH2B	523	461	590	253	117	359	476	395	270	508	632	194	165	185	233
TRNAK-CUU	0	1	0	1	0	0	0	0	0	0	0	11	12	0	0
DLEU7	10	1	5	3	24	5	0	0	0	0	4	77	101	0	0
LOC109497901	3	1	0	3	2	0	0	0	1	0	0	24	34	0	0
LOC111556929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111556704	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC102900852	401	289	464	402	123	236	115	71	52	94	102	96	90	29	36
LOC109497907	259	100	211	214	61	80	35	18	10	21	32	82	71	8	12
KCNRG	21	13	19	30	19	8	10	9	6	12	16	19	24	8	4
TRIM13	58	50	62	46	21	28	139	150	105	110	183	41	79	72	111
SPRYD7	319	275	246	165	58	190	368	420	330	383	555	114	84	239	324
LOC109497902	5	9	15	5	9	6	0	0	0	0	0	31	41	0	1
KPNA3	1298	1027	1035	940	343	768	1308	1563	1133	1534	2129	156	137	950	1226
EBPL	166	133	145	120	47	100	196	194	127	158	195	22	24	123	162
RCBTB1	1593	1573	1447	686	311	922	510	752	591	702	1032	325	289	375	497
ARL11	419	411	462	195	110	287	0	1	2	1	0	49	80	1	0
LOC101100105	1503	1366	1272	882	408	1077	399	560	484	457	643	258	228	372	408
CAB39L	802	908	868	578	233	681	762	1186	933	761	1137	93	78	534	615
LOC109497890	983	945	755	376	182	527	228	348	222	237	311	38	39	178	231
CDADC1	1919	1981	1604	790	413	1222	658	809	630	635	894	188	156	529	617
LOC102901569	9	14	9	3	8	16	42	80	70	47	70	58	70	1	5
MLNR	0	0	0	0	4	0	2	1	3	3	5	25	13	1	2
FNDC3A	2061	1784	1884	987	385	1211	1928	2666	2191	1706	2238	255	250	1403	1724
LOC105260363	19	12	13	28	21	10	7	5	1	0	1	21	32	0	0
CYSLTR2	202	47	202	52	54	61	26	110	75	23	16	157	170	6	12
LOC109497974	0	0	2	2	6	2	1	0	3	0	0	31	52	0	0
LOC111556256	1	0	1	1	2	0	0	0	0	0	0	24	34	0	0
RCBTB2	1963	1963	2090	1108	414	1753	1332	2205	1678	1569	1898	149	169	836	974
RB1	1482	1185	1477	1065	398	974	364	566	427	611	929	314	220	291	389
LPAR6	368	230	486	156	103	281	104	117	98	85	105	20	28	59	68
LOC111559794	3	1	2	1	1	4	0	1	0	2	0	32	24	0	1
ITM2B	12082	13524	14965	8140	3675	10039	14757	22588	18429	12007	16926	257	169	19910	22685
LOC111556911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109497981	2	0	2	1	12	1	0	0	0	0	0	60	89	1	0
MED4	515	571	522	304	99	413	317	475	346	337	448	124	111	253	278
NUDT15	367	339	384	186	64	285	244	391	321	258	403	55	47	364	436
SUCLA2	601	557	603	307	132	420	1439	1788	1341	1817	2775	115	96	1284	1430
LOC109497998	8	13	9	6	7	13	14	2	1	8	3	81	122	0	0
HTR2A	502	372	431	173	141	393	0	58	27	1	1	49	61	1	3
LOC109498005	1	3	3	2	0	1	0	2	0	1	0	11	26	0	0
ESD	719	716	825	381	171	555	2015	2146	1694	2195	2881	34	37	1391	1655
LRCH1	2158	1632	1904	1548	450	1304	607	681	551	672	966	344	297	607	685
LOC111559803	212	119	147	127	27	95	15	53	41	52	37	38	31	24	16
RUBCNL	2367	1078	1770	1855	479	1277	418	687	580	788	940	265	320	381	437
LRRC63	4	4	3	13	10	4	0	0	0	0	0	89	115	0	0
LCP1	20199	20852	19863	9023	3845	16028	1	111	73	0	2	5260	2933	9	4
LOC109498029	0	0	3	0	2	1	0	0	0	0	0	1	2	0	0
CPB2	1	1	1	2	3	2	1	1	0	1	1	49	66	0	0
ZC3H13	2422	1941	2173	1318	487	1401	1096	1139	882	1237	1733	996	678	741	876
LOC109498060	1	0	1	2	4	1	1	0	0	0	0	32	36	0	0
LOC109498054	0	0	1	1	2	0	0	0	0	0	0	31	52	0	0
SIAH3	4	2	0	1	5	0	0	0	0	0	0	60	110	0	0
SPERT	2	1	3	0	6	0	0	0	0	0	0	28	36	0	0
LOC111559815	1	1	2	0	3	0	0	0	0	0	0	21	19	0	0
LOC111559816	0	0	0	4	4	0	0	0	2	0	0	6	17	0	0
ERICH6B	5	3	2	1	12	2	0	2	2	1	0	127	182	0	0
LOC109498055	2	2	0	0	3	2	0	0	0	0	0	14	17	0	0
COG3	1770	1512	1712	1037	388	1355	1175	1331	1085	1398	1832	221	241	783	1001
SLC25A30	624	735	623	333	131	362	1563	1372	1097	940	1240	89	108	1074	1259
LOC109498076	4	2	2	2	7	0	3	6	3	1	1	10	15	2	1
LOC109498069	1	1	1	2	3	5	0	0	0	2	1	12	24	0	1
TPT1	59689	52696	74054	40744	14771	49716	47835	47424	38103	46364	61676	2068	1300	34489	43285
LOC111557013	76	55	69	35	26	68	18	64	51	38	39	2	2	11	15
LOC111557014	22	19	11	11	5	27	11	12	5	8	5	27	9	2	9
LOC109498077	1	0	1	1	2	1	1	1	1	0	0	19	21	0	0
LOC111559737	0	0	1	1	1	0	1	0	0	2	2	31	32	0	0
GTF2F2	273	225	273	188	76	217	279	311	254	344	456	123	91	219	223
KCTD4	14	9	9	40	6	2	2	1	0	1	5	14	15	0	2
GPALPP1	608	582	559	373	164	397	459	457	402	550	741	190	269	328	438
NUFIP1	237	227	184	118	61	143	308	289	285	353	503	83	75	163	240
LOC101085341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC_1	0	0	0	1	1	0	0	0	0	1	0	20	10	0	0
LOC111559826	1	0	0	0	3	0	0	0	0	0	0	36	30	0	0
LOC109498105	0	0	3	0	4	0	2	5	3	0	0	12	21	0	0
TSC22D1	1448	1102	1264	819	350	1013	2381	3330	2720	2565	3292	231	204	2143	2453
LOC109498118	4	0	0	1	12	1	0	0	0	0	1	96	81	0	0
SERP2	1	0	2	1	7	1	52	85	70	58	79	33	29	30	26
SMIM2	0	0	3	0	1	0	0	2	1	0	0	15	21	0	0
LOC109498125	2	0	1	0	5	1	3	3	1	4	9	31	43	1	1
LOC111559743	0	0	0	1	0	0	0	0	0	0	4	33	51	0	0
LOC102900805	3	1	4	7	14	1	0	0	0	0	0	73	91	0	1
LACC1	963	754	920	675	228	663	326	325	255	310	464	183	186	182	220
CCDC122	107	75	93	82	31	85	9	66	56	41	35	26	51	9	20
ENOX1	567	332	663	576	164	341	265	257	205	147	180	174	209	143	161
LOC109498151	11	2	12	16	3	4	0	1	0	0	1	46	44	0	0
DNAJC15	235	219	299	164	55	171	1296	806	652	1130	1539	90	86	1052	1338
EPSTI1	3779	6753	3556	1561	1182	3658	5	5	4	3	4	183	126	8	5
LOC109498166	385	651	251	154	163	328	0	0	0	0	1	22	20	0	1
FAM216B	13	12	6	12	26	18	1	0	0	0	1	21	48	0	0
LOC109498172	8	16	7	7	8	11	0	0	0	0	0	53	61	0	0
LOC109498170	3	11	7	2	3	3	0	0	1	0	0	23	21	0	2
TNFSF11	50	48	50	18	9	48	1	0	0	0	1	44	40	0	0
AKAP11	1507	1114	1231	1157	427	828	2030	2384	1693	2455	2941	379	311	942	1276
LOC111559850	0	1	2	7	13	1	0	0	2	0	0	44	52	1	1
DGKH	4049	3313	4275	2602	1141	3008	929	1805	1333	1824	2130	301	427	981	1284
VWA8	845	704	783	533	271	533	1235	2358	1813	1939	2455	369	441	1109	1301
LOC109498198	15	7	18	12	20	5	0	0	2	0	2	82	86	0	1
RGCC	901	995	966	296	120	681	39	198	167	27	40	103	60	1244	1388
NAA16	2008	1496	1571	887	344	910	440	544	403	501	686	173	146	244	261
MTRF1	549	553	469	140	88	336	217	295	240	229	317	80	90	160	212
LOC101088295	330	329	311	104	53	240	424	632	517	519	699	92	88	348	382
LOC101090830	248	281	224	85	49	156	446	655	531	669	879	79	63	421	528
WBP4	484	508	468	275	121	269	583	573	528	649	878	85	78	369	484
ELF1	5017	5376	4469	2832	1067	3608	1224	1468	1190	1314	1862	366	283	570	690
TRNAE-UUC_2	0	0	1	0	1	1	0	0	0	1	1	1	3	0	0
LOC109498230	224	219	190	154	58	184	50	61	61	60	74	48	69	31	48
SUGT1	808	694	752	388	146	494	1541	1446	1127	1640	2333	98	84	1004	1423
CNMD	33	15	29	27	14	10	15	6	9	9	8	52	44	7	9
LOC101091586	3	1	1	3	6	0	0	0	1	0	0	68	78	0	0
LOC109498231	0	2	0	1	4	0	0	0	0	0	0	30	46	1	0
OLFM4	6	1	1	2	8	2	0	0	0	0	0	135	164	0	0
LOC102901843	0	0	0	1	6	0	0	0	0	0	0	52	58	0	0
LOC111556289	5	3	2	4	5	0	0	0	0	0	0	47	58	0	0
