Orthogroup	Felis_catus	Puma_concolor
OG0000011	XP_023099956.1, XP_023099952.1, XP_023099954.1, XP_023099953.1, XP_023099951.1, XP_023099949.1, XP_023099947.1, XP_023099946.1, XP_023099950.1, XP_023099948.1, XP_023099940.1, XP_023099944.1, XP_023099945.1, XP_023099942.1, XP_023099943.1, XP_023099939.1, XP_023099941.1, XP_023099936.1, XP_023099938.1, XP_023099935.1, XP_023099937.1, XP_023099933.1, XP_023099934.1, XP_023099932.1	XP_025771879.1
OG0000012	XP_023104398.1, XP_023104403.1, XP_023104411.1, XP_023104404.1, XP_023104405.1, XP_023104406.1, XP_023104390.1, XP_023104391.1, XP_023104388.1, XP_023104389.1, XP_023104407.1, XP_023104399.1, XP_023104401.1, XP_023104400.1, XP_023104402.1, XP_023104393.1, XP_023104392.1, XP_023104394.1, XP_023104395.1, XP_023104410.1, XP_023104397.1, XP_023104396.1, XP_023104409.1	XP_025778757.1
OG0000013	XP_011281944.1	XP_025785950.1
OG0000013	XP_011281949.1	XP_025785955.1
OG0000013	XP_011281950.1	XP_025785956.1
OG0000013	XP_023112229.1	XP_025785957.1
OG0000013	XP_011281951.1	XP_025785958.1
OG0000013	XP_011281946.1	XP_025785952.1
OG0000013	XP_023112228.1	XP_025785953.1
OG0000013	XP_011281941.1	XP_025785946.1
OG0000013	XP_011281942.1	XP_025785949.1
OG0000013	XP_011281947.1	XP_025785954.1
OG0000013	XP_011281945.1	XP_025785951.1
OG0000014	XP_023109212.1, XP_023109209.1, XP_023109214.1, XP_023109216.1, XP_023109219.1, XP_023109220.1, XP_023109215.1, XP_023109217.1, XP_023109218.1, XP_023109224.1, XP_023109228.1, XP_023109230.1, XP_023109229.1, XP_023109225.1, XP_023109226.1, XP_023109227.1, XP_023109222.1, XP_023109221.1, XP_023109223.1, XP_023109210.1, XP_023109211.1, XP_023109213.1	XP_025777412.1
OG0000015	XP_019666543.2, XP_019666544.2, XP_019666536.2, XP_011284616.2, XP_019666537.2, XP_023116551.1, XP_011284611.2, XP_011284605.2, XP_011284606.2, XP_019666531.2, XP_019666530.2, XP_019666529.2, XP_019666528.2, XP_011284614.2, XP_011284613.2, XP_011284615.2, XP_019666535.2, XP_011284617.2, XP_011284619.2, XP_011284618.2, XP_019666539.2	XP_025769465.1
OG0000016	XP_023112927.1	XP_025782729.1
OG0000016	XP_023112922.1	XP_025782724.1
OG0000016	XP_019690673.1	XP_025782722.1
OG0000016	XP_019690679.1	XP_025782725.1
OG0000016	XP_023112926.1	XP_025782727.1
OG0000016	XP_019690685.1	XP_025782731.1
OG0000016	XP_023112925.1	XP_025782728.1
OG0000016	XP_019690674.1	XP_025782723.1
OG0000016	XP_019690684.1	XP_025782730.1
OG0000016	XP_023112928.1	XP_025782732.1
OG0000017	XP_023102699.1, XP_023102696.1, XP_023102697.1, XP_023102694.1, XP_023102695.1, XP_023102702.1, XP_023102703.1, XP_023102691.1, XP_023102689.1, XP_023102688.1, XP_023102687.1, XP_023102693.1, XP_023102692.1, XP_023102700.1, XP_023102701.1, XP_023102698.1, XP_023102708.1, XP_023102706.1, XP_023102707.1, XP_023102704.1, XP_023102705.1	XP_025772441.1
OG0000018	XP_023105534.1, XP_023105535.1, XP_023105536.1, XP_023105537.1, XP_023105538.1, XP_023105539.1, XP_023105541.1, XP_023105542.1, XP_023105543.1, XP_023105523.1	XP_025773173.1
OG0000018	XP_023105530.1, XP_023105531.1, XP_023105528.1, XP_023105526.1, XP_023105527.1, XP_023105524.1, XP_023105525.1, XP_023105532.1, XP_023105533.1	XP_025773174.1, XP_025773175.1
OG0000019	XP_019692743.1, XP_019692737.1, XP_019692744.1, XP_019692742.1, XP_023114557.1, XP_019692738.1, XP_019692739.1, XP_019692753.1, XP_019692747.1, XP_019692748.1, XP_019692750.1, XP_019692749.1, XP_019692751.1, XP_019692741.1, XP_019692740.1, XP_019692745.1, XP_003990212.1, XP_023114560.1, XP_019692746.1, XP_019692752.1	XP_025782861.1
OG0000020	XP_023116195.1, XP_023116193.1, XP_011284399.1, XP_023116190.1, XP_023116191.1, XP_023116194.1, XP_023116192.1, XP_006936343.1, XP_011284398.1, XP_003991990.1, XP_006936344.1, XP_019666048.1, XP_019666047.1, XP_019666044.1, XP_019666043.1, XP_019666046.1, XP_019666045.1, XP_023116189.1, XP_019666042.1, XP_019666041.1	XP_025769234.1
OG0000021	XP_019670828.1	XP_025787074.1
OG0000021	XP_011286297.1	XP_025787066.1, XP_025787064.1, XP_025787065.1
OG0000021	XP_011286306.1	XP_025787070.1
OG0000021	XP_011286308.1	XP_025787079.1
OG0000022	XP_023094988.1, XP_023094990.1, XP_023094987.1, XP_023094986.1, XP_023094985.1, XP_023094984.1, XP_023094983.1, XP_023094982.1, XP_023094981.1, XP_023094993.1, XP_023094996.1, XP_023094995.1, XP_023094992.1, XP_023094991.1, XP_023095001.1, XP_023094994.1, XP_023095000.1, XP_023094999.1, XP_023094998.1, XP_023094997.1	XP_025784658.1
OG0000023	XP_006937174.1	XP_025784279.1
OG0000023	XP_023095359.1	XP_025784280.1
OG0000023	XP_023095358.1	XP_025784278.1
OG0000023	XP_003993058.1	XP_025784281.1
OG0000023	XP_023095355.1	XP_025784272.1
OG0000023	XP_023095354.1	XP_025784271.1
OG0000023	XP_023095351.1	XP_025784273.1
OG0000023	XP_023095356.1	XP_025784274.1
OG0000023	XP_023095357.1	XP_025784275.1
OG0000024	XP_019671361.1	XP_025787403.1
OG0000024	XP_011286574.1, XP_011286572.1, XP_011286575.1, XP_019671362.1, XP_011286576.1, XP_023099144.1, XP_023099145.1, XP_023099152.1, XP_023099151.1, XP_023099153.1, XP_023099150.1, XP_023099149.1, XP_023099147.1, XP_023099146.1, XP_023099148.1, XP_023099142.1, XP_023099141.1	XP_025787402.1
OG0000025	XP_023105073.1	XP_025790246.1
OG0000025	XP_023105074.1	XP_025790247.1
OG0000025	XP_019679728.1, XP_019679732.1, XP_019679733.1, XP_023105066.1, XP_023105067.1, XP_023105064.1, XP_023105065.1, XP_023105070.1, XP_023105071.1, XP_023105068.1, XP_023105069.1, XP_023105072.1, XP_023105063.1	XP_025790244.1
OG0000025	XP_019679722.1	XP_025790245.1
OG0000026	XP_023109621.1, XP_023109623.1, XP_023109622.1, XP_023109619.1, XP_023109620.1, XP_023109612.1, XP_023109611.1, XP_023109606.1, XP_023109608.1, XP_023109610.1, XP_023109607.1, XP_019686020.2, XP_023109609.1, XP_023109613.1, XP_023109618.1, XP_023109614.1, XP_023109615.1, XP_023109616.1, XP_023109617.1	XP_025781860.1
OG0000027	XP_023098924.1, XP_023098938.1, XP_023098921.1, XP_023098923.1, XP_023098925.1, XP_023098929.1, XP_023098926.1, XP_023098927.1, XP_023098930.1, XP_023098922.1, XP_023098935.1, XP_023098937.1, XP_023098936.1, XP_023098934.1, XP_023098933.1, XP_023098932.1, XP_023098931.1, XP_023098940.1, XP_023098941.1	XP_025779861.1
OG0000028	XP_023105557.1, XP_023105559.1, XP_023105554.1, XP_023105551.1, XP_023105550.1, XP_023105549.1, XP_023105548.1, XP_023105553.1, XP_023105552.1, XP_023105558.1, XP_023104837.1, XP_023104836.1, XP_023104835.1, XP_023105556.1, XP_023105555.1, XP_023104840.1, XP_023104839.1, XP_023104838.1	XP_025787260.1, XP_025789987.1
OG0000029	XP_023100108.1, XP_023100109.1	XP_025783473.1
OG0000029	XP_011287608.1, XP_019673662.1, XP_019673663.1, XP_023100110.1	XP_025783474.1
OG0000029	XP_003997098.1, XP_023100103.1, XP_023100104.1, XP_019673656.1	XP_025783470.1
OG0000029	XP_011287606.1, XP_023100105.1, XP_023100106.1	XP_025783471.1
OG0000029	XP_023100107.1	XP_025783472.1
OG0000030	XP_006942955.1, XP_006942952.1, XP_019677592.1, XP_019677591.1, XP_019677594.1, XP_023103137.1, XP_019677596.1, XP_006942958.1, XP_019677589.1, XP_006942953.1, XP_011289226.1, XP_006942954.1, XP_019677597.1, XP_006942950.1, XP_006942951.1, XP_019677590.1, XP_006942949.1	XP_025776777.1, XP_025776776.1
OG0000031	XP_019666380.1	XP_025769716.1
OG0000031	XP_023116402.1	XP_025769715.1
OG0000031	XP_023116403.1	XP_025769705.1, XP_025769704.1
OG0000031	XP_019666374.1	XP_025769707.1, XP_025769709.1, XP_025769710.1, XP_025769708.1
OG0000031	XP_019666378.1	XP_025769714.1
OG0000031	XP_023116399.1, XP_023116400.1	XP_025769711.1, XP_025769712.1
OG0000032	XP_023111034.1, XP_023111037.1	XP_025774304.1, XP_025774307.1
OG0000032	XP_023111029.1	XP_025771018.1, XP_025774306.1, XP_025774301.1, XP_025771019.1, XP_025774309.1
OG0000032	XP_023111032.1	XP_025774305.1
OG0000032	XP_023111035.1	XP_025774310.1, XP_025774303.1, XP_025774308.1, XP_025774302.1, XP_025774300.1
OG0000033	XP_019671286.1, XP_019671285.1, XP_023099066.1, XP_019671283.1, XP_019671282.1, XP_019671280.1, XP_023099069.1, XP_019671279.1, XP_023099068.1, XP_023099067.1, XP_023099065.1	XP_025787300.1
OG0000033	XP_023106643.1, XP_023106644.1, XP_023106645.1, XP_011285916.1, XP_023106642.1	XP_025772179.1
OG0000034	XP_019672635.1, XP_019672637.1, XP_019672639.1, XP_011287185.1, XP_011287186.1, XP_011287187.1, XP_019672641.1, XP_023099420.1, XP_023099421.1, XP_019672642.1, XP_019672643.1, XP_019672645.1, XP_023099423.1, XP_023099418.1, XP_023099419.1, XP_019672640.1, XP_019672631.1	XP_025776056.1
OG0000035	XP_019683747.1, XP_019683749.1, XP_019683716.1, XP_019683715.1, XP_019683723.1, XP_019683695.1, XP_019683734.1, XP_019683693.1, XP_019683737.1, XP_019683721.1, XP_019683743.1, XP_019683750.1, XP_019683710.1, XP_019683702.1, XP_019683696.1, XP_019683706.1, XP_019683707.1	XP_025779798.1
OG0000036	XP_023104368.1, XP_023104362.1, XP_023104361.1, XP_023104364.1, XP_023104365.1, XP_023104366.1, XP_023104367.1, XP_023104363.1	XP_025778328.1
OG0000036	XP_023100678.1, XP_023100677.1, XP_023100684.1, XP_023100683.1, XP_023100682.1, XP_023100679.1, XP_023100680.1, XP_023100681.1	XP_025776649.1
OG0000037	XP_023102162.1, XP_023102161.1, XP_023102158.1, XP_023102159.1, XP_023102155.1, XP_023102153.1, XP_023102163.1, XP_023102154.1, XP_023102160.1, XP_023102157.1, XP_023102156.1, XP_023102166.1, XP_023102167.1, XP_023102168.1, XP_023102164.1, XP_023102165.1, XP_023102169.1	XP_025772524.1
OG0000038	XP_023105694.1, XP_023105688.1, XP_023105689.1, XP_023105687.1, XP_023105696.1, XP_023105700.1, XP_023105697.1, XP_023105695.1, XP_023105698.1, XP_023105686.1, XP_023105685.1, XP_023105699.1, XP_023105693.1, XP_023105692.1, XP_023105690.1, XP_023105691.1, XP_023105701.1	XP_025771770.1
OG0000039	XP_023106754.1, XP_023106739.1, XP_023106737.1, XP_023106738.1, XP_023106742.1, XP_023106740.1, XP_023106744.1, XP_023106745.1, XP_023106747.1, XP_023106743.1, XP_023106746.1, XP_023106752.1, XP_023106753.1, XP_023106748.1, XP_023106749.1, XP_023106751.1, XP_023106750.1	XP_025787880.1
OG0000040	XP_023115740.1, XP_023115741.1, XP_023115743.1, XP_023115744.1, XP_023115745.1, XP_023115742.1, XP_023115752.1, XP_023115755.1, XP_023115754.1, XP_023115753.1, XP_023115750.1, XP_023115751.1, XP_023115748.1, XP_023115756.1, XP_023115746.1, XP_023115747.1, XP_023115749.1	XP_025786477.1
OG0000041	XP_006933596.1, XP_023109350.1, XP_011280379.1, XP_023110468.1	XP_025772819.1
OG0000041	XP_011280374.1	XP_025772776.1
OG0000041	XP_006931453.1	XP_025772826.1
OG0000041	XP_003985737.1, XP_023109351.1, XP_003985732.1, XP_006931456.1, XP_023105589.1	XP_025787493.1
OG0000042	XP_019687496.2, XP_023110750.1, XP_023110751.1, XP_019687494.2, XP_019687495.2, XP_023110753.1, XP_023110752.1, XP_023110756.1, XP_023110754.1, XP_023110755.1, XP_006932367.2, XP_006932366.2, XP_006932360.2, XP_006932363.2, XP_006932362.2	XP_025775713.1, XP_025775714.1
OG0000043	XP_023108503.1, XP_023108505.1, XP_011279898.1, XP_023108509.1, XP_023108508.1, XP_023108500.1, XP_023108501.1, XP_023108507.1, XP_023108506.1, XP_019684358.1, XP_019684357.1, XP_023108502.1, XP_019684353.1, XP_019684350.1, XP_019684348.1, XP_023108504.1	XP_025778140.1
OG0000044	XP_019668286.1, XP_023095860.1, XP_023095861.1, XP_023095858.1, XP_023095859.1, XP_023095857.1, XP_019668287.1, XP_019668290.1, XP_019668291.1, XP_019668293.1, XP_019668294.1, XP_023095862.1, XP_011285347.1, XP_019668280.1, XP_019668284.1, XP_011285348.1	XP_025771198.1
OG0000045	XP_023112633.1, XP_023112628.1, XP_023112630.1, XP_023112631.1, XP_023112632.1, XP_023112636.1, XP_019690284.1, XP_019690285.1, XP_019690283.1, XP_023112629.1, XP_023112635.1, XP_023112627.1, XP_023112624.1, XP_023112625.1, XP_023112626.1, XP_023112634.1	XP_025786657.1
OG0000046	XP_023094381.1	XP_025769965.1
OG0000046	XP_023094375.1	XP_025769962.1
OG0000046	XP_023094374.1	XP_025769960.1
OG0000046	XP_023094379.1	XP_025769964.1
OG0000046	XP_023094378.1	XP_025769963.1
OG0000046	XP_023094376.1, XP_023094377.1	XP_025769958.1
OG0000046	XP_023094367.1	XP_025769959.1
OG0000046	XP_023094372.1	XP_025769961.1
OG0000047	XP_023094718.1, XP_023094716.1, XP_023094711.1, XP_023094710.1, XP_023094712.1, XP_023094702.1, XP_023094707.1, XP_023094701.1, XP_023094714.1, XP_023094713.1, XP_023094715.1, XP_023094709.1, XP_023094705.1, XP_023094704.1, XP_023094703.1, XP_023094708.1	XP_025771316.1
OG0000048	XP_023111611.1, XP_023111597.1, XP_023111610.1, XP_023111608.1, XP_023111609.1, XP_023111612.1, XP_023111603.1, XP_023111602.1, XP_023111601.1, XP_023111600.1, XP_023111599.1, XP_023111598.1, XP_023111604.1, XP_023111605.1, XP_023111606.1, XP_023111607.1	XP_025775328.1
OG0000049	XP_023114279.1	XP_025780368.1
OG0000049	XP_023114254.1	XP_025780369.1
OG0000049	XP_023114263.1, XP_023114269.1	XP_025780357.1, XP_025780363.1, XP_025780361.1, XP_025780359.1, XP_025780356.1, XP_025780358.1, XP_025780360.1, XP_025780364.1, XP_025780366.1, XP_025780365.1
OG0000050	XP_023110512.1	XP_025772720.1
OG0000050	XP_003985935.1	XP_025772905.1, XP_025787639.1, XP_025772904.1, XP_025772903.1, XP_025772901.1, XP_025772900.1, XP_025772898.1, XP_025772892.1, XP_025772895.1, XP_025772894.1, XP_025772896.1, XP_025772893.1, XP_025772890.1
OG0000051	XP_023095997.1	XP_025771184.1
OG0000051	XP_011285469.1, XP_023096000.1, XP_023096001.1, XP_006937752.1, XP_023095999.1, XP_003993862.3, XP_006937751.1	XP_025771191.1, XP_025771192.1, XP_025771186.1, XP_025771189.1, XP_025771190.1, XP_025771187.1, XP_025771193.1
OG0000052	XP_019679302.1, XP_004000464.1, XP_006943723.1, XP_019679296.1, XP_019679298.1, XP_019679304.1, XP_019679301.1, XP_019679306.1, XP_019679297.1, XP_019679299.1, XP_019679300.1, XP_019679308.1, XP_019679305.1, XP_019679307.1, XP_019679303.1	XP_025790332.1
OG0000053	XP_023114036.1, XP_023114035.1, XP_019691916.2, XP_019691910.2, XP_023114032.1, XP_023114033.1, XP_023114034.1, XP_019691918.1, XP_019691917.1, XP_019691907.2, XP_019691915.2, XP_019691908.2, XP_006934443.3, XP_019691909.2, XP_019691914.2	XP_025781183.1
OG0000054	XP_019676705.1, XP_019676704.1, XP_019676701.1, XP_019676699.1, XP_019676700.1, XP_019676702.1, XP_019676695.1, XP_019676696.1, XP_019676697.1, XP_019676698.1, XP_019676703.1, XP_019676692.1, XP_019676694.1, XP_011288987.1, XP_011288983.1	XP_025772499.1
OG0000055	XP_023106277.1	XP_025785843.1, XP_025785844.1, XP_025785842.1
OG0000055	XP_019681262.1, XP_023106274.1, XP_023106271.1, XP_023106272.1, XP_023106270.1, XP_019681266.1, XP_019681264.1, XP_019681265.1, XP_023106273.1, XP_023106275.1, XP_023106276.1	XP_025785841.1
OG0000056	XP_023101763.1, XP_023101762.1, XP_023095980.1, XP_023095981.1, XP_023095982.1, XP_023095985.1, XP_023095975.1, XP_023095984.1, XP_023095976.1, XP_023095979.1, XP_023095977.1, XP_023095978.1, XP_023095983.1, XP_023095986.1, XP_023095987.1	XP_025770223.1
OG0000057	XP_023098548.1, XP_023098544.1, XP_023098553.1, XP_023098550.1, XP_023098558.1, XP_023098559.1, XP_023098545.1, XP_023098549.1, XP_023098552.1, XP_023098554.1, XP_023098555.1, XP_023098556.1, XP_023098546.1, XP_023098543.1, XP_023098551.1	XP_025769523.1
OG0000058	XP_023102939.1, XP_023102940.1, XP_023102947.1, XP_023102941.1, XP_023102943.1, XP_023102945.1, XP_023102946.1, XP_023102944.1, XP_023102948.1, XP_023102949.1, XP_023102951.1, XP_023102953.1, XP_023102952.1, XP_023102954.1, XP_023102950.1	XP_025770959.1
OG0000059	XP_023105999.1, XP_023105996.1, XP_023106000.1, XP_023105998.1, XP_023105993.1, XP_023105994.1, XP_023105995.1, XP_023106001.1, XP_023106002.1, XP_023106004.1, XP_023106003.1, XP_023106005.1, XP_023106006.1, XP_023106009.1, XP_023106008.1	XP_025785578.1
OG0000060	XP_023107375.1	XP_025788627.1
OG0000060	XP_023107376.1	XP_025788628.1
OG0000060	XP_023107380.1	XP_025788631.1
OG0000060	XP_023107377.1	XP_025788629.1
OG0000060	XP_023107378.1	XP_025788630.1
OG0000060	XP_023107381.1	XP_025788632.1
OG0000060	XP_023107382.1	XP_025788633.1
OG0000060	XP_023107383.1	XP_025788634.1
OG0000062	XP_023115535.1, XP_023115536.1, XP_006935697.1, XP_023113577.1, XP_019691500.1, XP_019691497.1, XP_019691496.1, XP_019691499.1, XP_023113578.1, XP_006935696.1, NP_001265749.1, XP_019691498.1, XP_019691495.1	XP_025786096.1, XP_025786107.1
OG0000063	XP_019669732.1, XP_019669731.1, XP_006938051.1, XP_006938053.1, XP_006938052.1, XP_023096457.1, XP_023096456.1, XP_023096455.1, XP_023096459.1, XP_023096458.1, XP_003994240.1, XP_003994241.1	XP_025773958.1, XP_025773960.1, XP_025773959.1
OG0000064	XP_006927940.1	XP_025779240.1, XP_025779238.1
OG0000064	XP_019693579.1, XP_019693577.1	XP_025779236.1
OG0000064	XP_011283491.2, XP_019693564.2	XP_025779235.1, XP_025779237.1, XP_025779239.1
OG0000064	XP_023114741.1	XP_025779241.1
OG0000064	XP_019693599.1	XP_025779242.1
OG0000065	XP_023094451.1, XP_023094454.1, XP_019694888.1, XP_019694889.1, XP_023094453.1, XP_019694892.1, XP_019694890.1, XP_019694891.1, XP_023094455.1, XP_023094456.1, XP_023094457.1, XP_006935895.1, XP_006935893.1, XP_023094458.1	XP_025768854.1
OG0000066	XP_011279909.1, XP_011279907.1, XP_011279908.1, XP_019684366.1	XP_025777693.1, XP_025777694.1, XP_025777697.1, XP_025777696.1, XP_025777690.1, XP_025777689.1, XP_025777688.1, XP_025777687.1, XP_025777692.1, XP_025777691.1, XP_025777695.1
OG0000067	XP_023111175.1	XP_025775885.1
OG0000067	XP_023111174.1	XP_025775884.1
OG0000067	XP_023111173.1	XP_025775881.1
OG0000067	XP_023111169.1	XP_025775880.1
OG0000067	XP_011281157.1, XP_019688050.1, XP_019688048.1, XP_019688051.1, XP_023111166.1, XP_023111167.1	XP_025775879.1
OG0000068	XP_023113981.1, XP_019691820.1, XP_019691821.1, XP_019691817.1, XP_019691819.1, XP_019691818.1, XP_023113975.1, XP_023113974.1, XP_023113973.1, XP_023113976.1, XP_023113977.1, XP_023113978.1, XP_023113979.1, XP_023113980.1	XP_025781016.1
OG0000069	XP_023101284.1, XP_023101285.1, XP_023101277.1, XP_023101278.1, XP_023101279.1, XP_023101280.1, XP_023101281.1, XP_023101282.1, XP_023101283.1, XP_023101286.1, XP_023101289.1, XP_023101288.1, XP_023101290.1, XP_023101287.1	XP_025776645.1
OG0000070	XP_006942856.1, XP_006942855.1, XP_006942859.1, XP_019676878.1, XP_019676879.1, XP_019676885.1, XP_019676880.1, NP_001009347.1, XP_019676884.1, XP_019676883.1, XP_006942858.1, XP_019676882.1, XP_019676881.1	XP_025776801.1
OG0000071	XP_003984820.2, XP_023108357.1	XP_025777341.1, XP_025777337.1, XP_025777339.1
OG0000071	XP_019684106.1	XP_025777343.1
OG0000071	XP_011279820.1, XP_023108358.1	XP_025777342.1, XP_025777344.1
OG0000071	XP_023108356.1, XP_019684103.1	XP_025777338.1
OG0000072	XP_006932771.1	XP_025774777.1
OG0000072	XP_019688331.1, XP_011281413.1, XP_011281414.1, XP_011281412.1, XP_011281417.1, XP_011281415.1, XP_011281416.1	XP_025774776.1
OG0000072	XP_011281418.1	XP_025774779.1
OG0000072	XP_003987477.1	XP_025774778.1
OG0000073	XP_019668198.1, XP_019668199.1, XP_019668201.1, XP_019668200.1, XP_019668193.1, XP_019668192.1, XP_019668202.1, XP_019668191.1, XP_019668194.1, XP_019668196.1, XP_019668197.1, XP_019668195.1, XP_003993672.1	XP_025771147.1
OG0000074	XP_023111059.1, XP_023111053.1, XP_019687584.1, XP_023111049.1, XP_023111041.1, XP_023111051.1, XP_006927665.1, XP_006927666.1, XP_023111064.1, XP_023111036.1	XP_025780074.1
OG0000074	XP_023111038.1	XP_025780075.1, XP_025780076.1
OG0000075	XP_006932289.1, XP_023110650.1, XP_023110652.1, XP_023110648.1, XP_023110649.1, XP_011281082.1, XP_019687381.1, XP_019687380.1, XP_019687379.1, XP_019687382.1, XP_011281076.1, XP_011281077.1, XP_023110647.1	XP_025774503.1
OG0000076	XP_023099980.1	XP_025773071.1, XP_025773064.1
OG0000076	XP_023099981.1	XP_025773078.1
OG0000076	XP_023099979.1	XP_025773119.1
OG0000076	XP_006940127.3, XP_019673058.1, XP_019673057.1	XP_025773112.1
