N_unmapped	4438_S1_L002_ReadsPerGene.out.tab	4460_S2_L002_ReadsPerGene.out.tab	4474_S3_L002_ReadsPerGene.out.tab	4501_S4_L002_ReadsPerGene.out.tab	4510_S5_L002_ReadsPerGene.out.tab	4520_S6_L002_ReadsPerGene.out.tab	DC1MINUS_S7_L002_ReadsPerGene.out.tab	DC2MINUES_S9_L002_ReadsPerGene.out.tab	DC2PLUS_S10_L002_ReadsPerGene.out.tab	DC2Pool_NoIndex_L001_ReadsPerGene.out.tab	DC3Pool_NoIndex_L001_ReadsPerGene.out.tab	DC4MINUS_S11_L002_ReadsPerGene.out.tab	DC4PLUS_S12_L002_ReadsPerGene.out.tab	Mischief_Minus_S12_L002_ReadsPerGene.out.tab	Mischief_Plus_S11_L002_ReadsPerGene.out.tab	X2654MINUS_S13_L002_ReadsPerGene.out.tab	X2654PLUS_S14_L002_ReadsPerGene.out.tab
LOC109492533	0	1	0	0	3	2	0	0	0	0	1	0	0	13	12	0	0
LOC109492531	0	0	0	0	2	0	0	0	0	0	0	0	0	28	28	0	0
LOC109492534	0	0	0	0	0	0	0	0	0	0	0	0	1	12	10	0	0
SGCG	1	2	0	0	2	0	0	0	0	0	0	0	0	6	2	1	0
SACS	1	4	2	1	4	0	0	6	2	4	0	1	1	44	77	1	0
TNFRSF19	2900	1775	2527	2644	812	1761	2289	2422	1866	238	316	3106	4148	513	427	1249	1399
MIPEP	133	64	60	91	53	165	23	13	16	8	6	65	60	102	135	10	2
LOC102900817	371	342	419	307	108	341	393	392	297	2	6	503	685	91	105	220	255
LOC111559532	4	3	2	2	5	1	1	0	2	8	21	0	0	15	23	2	1
C1QTNF9	1	1	1	0	3	3	1	0	0	0	0	2	0	3	3	0	2
SPATA13	8	2	3	4	17	5	2	0	0	0	1	0	0	96	95	1	0
LOC109494942	934	786	706	204	175	520	315	91	98	29	51	98	122	358	374	60	57
LOC109494916	10	7	6	4	7	1	6	0	1	178	101	0	2	35	21	0	0
LOC109494931	42	37	32	15	17	25	0	0	0	4	2	1	0	118	113	0	0
LOC109494958	1	0	0	1	5	0	0	0	0	33	31	0	0	66	89	0	0
LOC111559449	3	1	0	1	7	0	0	0	1	43	65	0	0	47	49	0	1
AMER2	4	1	5	3	9	3	0	2	0	82	53	0	0	69	78	0	0
LOC109495032	3	4	6	5	1	0	8	3	5	2	0	6	8	27	21	9	8
LOC109495042	8	3	3	2	17	1	0	0	0	54	56	1	0	64	70	0	0
MTMR6	0	0	3	1	6	0	0	0	0	0	1	0	0	48	66	0	0
NUP58	1269	1037	1243	702	251	760	2823	3752	2929	22	29	3487	4517	132	120	2268	2870
LOC111559502	833	622	668	378	141	495	871	960	765	155	181	1171	1499	182	133	578	765
LOC101085594	0	0	0	0	9	0	0	0	0	1	1	0	0	17	31	0	0
LOC109495412	10	8	7	9	37	7	0	4	1	69	55	1	0	320	353	0	0
LOC111559455	2	2	1	6	7	2	0	0	0	0	0	1	0	32	41	0	0
SHISA2	3	2	1	3	15	1	0	0	0	0	4	1	0	80	97	0	0
LOC101096779	16	0	2	11	5	8	3	41	41	196	119	9	16	66	72	4	8
RNF6	11	7	4	5	21	6	3	10	11	43	129	3	6	171	251	0	1
CDK8	742	659	665	312	138	557	948	919	747	57	84	1053	1467	157	191	538	632
LOC109495641	390	370	387	209	84	276	596	769	716	0	1	909	1121	113	88	609	769
LOC109495885	7	14	7	4	14	3	1	1	3	2	22	2	6	19	34	3	4
WASF3	2	4	1	0	8	3	1	0	0	128	43	0	0	41	59	2	1
LOC111556724	3	3	5	2	23	9	153	156	159	19	79	281	339	150	179	216	274
LOC109495851	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
GPR12	1	0	1	2	4	0	0	0	0	17	8	0	0	17	21	0	1
USP12	3	0	0	0	0	2	0	0	0	6	4	0	0	35	53	0	0
LOC109496069	970	866	833	604	221	811	2122	1864	1582	87	38	3636	4824	162	116	1224	1522
LOC111559476	35	25	43	21	10	29	4	8	3	1	1	8	15	15	10	0	5
LOC102901461	5	1	1	1	2	1	2	1	0	0	0	0	1	1	1	0	0
RPL21	30	20	16	16	20	38	253	314	286	85	51	166	208	79	88	265	334
LOC111557008	12099	11564	12943	7464	2627	8946	9748	10149	8024	3	8	9099	12595	287	154	6238	7554
LOC111557034	35	33	39	24	12	38	10	2	4	0	0	12	7	2	0	7	1
RASL11A	84	59	66	43	21	101	17	19	6	0	0	34	31	32	7	7	7
LOC109496221	22	14	39	21	3	20	2382	1797	1615	1	0	4477	5504	20	23	1509	1703
GTF3A	1	3	2	2	5	0	2	0	0	0	0	1	1	21	35	0	0
MTIF3	847	819	996	534	174	632	758	857	678	12	25	1033	1298	100	73	507	676
LOC111559484	144	144	150	95	37	104	212	171	185	0	0	187	251	50	23	100	98
LOC109496316	0	0	0	2	0	2	1	0	1	0	0	2	2	7	12	0	0
LNX2	13	8	8	7	5	10	29	24	15	0	0	22	29	21	26	9	13
POLR1D	603	669	507	401	155	434	525	576	446	70	46	600	721	182	176	361	488
LOC111559488	810	969	986	543	185	630	387	353	259	1	0	418	531	27	19	286	357
GSX1	646	843	851	529	230	606	536	635	551	0	0	511	577	23	13	431	597
PDX1	2	0	0	0	3	0	0	0	0	0	0	0	0	7	19	0	0
CDX2	2	2	0	1	3	1	0	0	0	0	1	0	0	38	38	0	0
URAD	3	1	2	0	9	0	0	0	0	0	0	1	0	38	47	0	0
FLT3	1	0	0	0	0	0	0	0	1	0	0	0	0	9	11	0	0
LOC109496442	130	181	243	46	60	68	0	1	2	35	44	0	2	188	221	1	4
LOC102901710	32	22	20	24	18	23	1	2	2	41	32	3	2	34	48	2	0
PAN3	37	14	32	16	7	19	10	1	2	1	2	1	3	16	36	1	2
FLT1	4504	3157	3745	2928	1000	2564	728	849	602	2	36	795	1047	258	214	457	650
LOC102901737	69	26	35	39	39	41	61	248	240	67	45	12	18	277	270	1075	1304
LOC111559501	43	23	41	29	18	30	1	1	0	2	0	4	6	11	29	3	2
POMP	1	0	1	0	2	0	0	19	7	0	18	0	2	6	6	1	6
SLC46A3	930	913	1024	540	223	817	2028	2186	1681	87	56	2232	3398	33	46	1751	1976
MTUS2	856	689	876	615	244	571	27	86	80	0	0	33	37	55	57	70	91
LOC109496599	47	36	55	63	25	19	1	10	11	14	33	3	5	176	194	5	5
LOC109496695	1	3	2	0	4	2	0	1	0	41	14	0	0	9	12	0	0
SLC7A1	2	0	0	5	6	1	0	0	1	0	0	0	0	16	23	1	0
LOC109496642	687	497	561	693	181	408	1747	2214	1973	108	52	2371	2974	174	177	1101	1270
LOC109496619	80	50	87	172	38	60	24	18	10	1	1	30	25	115	129	12	13
LOC109496645	0	0	0	0	1	0	0	0	0	0	1	0	0	3	11	0	0
LOC111559507	2	0	0	1	6	0	0	0	0	35	13	0	0	41	52	0	0
LOC109496768	1	0	1	1	1	0	0	0	0	1	0	0	0	69	64	0	0
LOC109496710	84	56	64	31	18	74	0	0	0	1	2	0	0	92	67	1	0
UBL3	318	147	213	141	67	205	0	1	0	8	12	0	0	90	136	0	0
LOC109496855	3441	2787	3196	1940	709	2203	2034	2695	2209	18	79	2483	3049	104	88	924	1198
LOC111559546	3	2	9	5	7	1	0	4	0	27	12	0	0	47	57	0	0
KATNAL1	0	0	1	0	6	0	0	0	0	0	4	0	0	29	29	0	0
LOC102902205	115	117	156	98	28	73	149	159	120	53	24	227	328	101	116	142	155
LOC111559516	9	18	15	16	9	11	12	29	34	0	1	23	23	75	71	18	11
LOC109497259	43	48	40	61	27	31	5	1	0	105	74	1	2	72	73	1	2
HMGB1	167	150	117	82	39	91	9	22	10	113	69	6	4	61	76	8	3
LOC109497262	9201	8438	9037	4285	1437	6515	3513	3177	2414	45	31	3469	4504	1845	1050	2130	2597
LOC109497264	5	2	2	4	8	1	1	0	0	2	8	0	3	92	104	2	2
USPL1	18	11	14	9	17	16	15	18	17	1	3	20	20	136	134	12	17
TRNAN-GUU	547	578	493	394	192	276	138	149	112	2	54	138	202	143	137	118	115
LOC111559523	0	0	0	0	0	0	3	3	11	0	0	5	4	4	11	3	1
ALOX5AP	0	0	0	2	14	4	4	1	1	0	0	2	3	42	79	0	0
LOC109497268	476	223	527	246	138	305	0	0	0	3	3	0	0	98	106	0	0
LOC102902594	14	10	11	6	8	1	0	0	0	20	91	0	0	17	25	0	0
LOC109492552	0	1	1	2	6	0	7	33	21	3	1	4	8	21	50	14	10
LOC109497270	1	0	0	2	5	3	0	4	1	1	1	0	0	26	33	0	0
MEDAG	1	0	0	0	2	0	19	13	8	1	0	25	42	4	24	17	12
LOC111559528	2	4	1	3	5	1	10786	7931	6780	58	19	10944	13661	33	47	5543	7321
LOC109497286	3	4	4	4	18	2	155	66	51	264	241	76	112	127	153	42	58
TEX26	0	0	0	0	1	0	0	0	0	0	0	0	0	23	21	0	0
LOC111559529	1	1	2	3	12	0	0	1	0	6	10	0	1	24	22	0	0
LOC111559531	0	0	0	2	5	3	0	0	0	1	0	0	0	27	32	0	0
LOC109497276	1	2	2	2	7	0	0	0	0	0	1	0	0	45	79	0	0
LOC102900692	2	2	2	1	10	1	0	0	0	43	49	0	0	55	67	0	0
LOC102899076	0	1	2	2	2	0	0	0	0	1	0	0	0	14	33	0	0
HSPH1	1	1	2	0	8	0	0	0	0	0	0	2	0	53	41	0	0
LOC102899192	1530	877	851	366	182	766	1942	1560	1295	137	258	2284	3236	249	197	1057	1235
LOC109497283	25	15	12	5	5	5	9	3	3	0	0	7	3	2	2	0	1
LOC111559537	3	1	0	2	1	1	1	0	0	26	26	0	0	26	14	0	0
B3GLCT	67	64	90	53	17	36	232	135	111	0	1	194	218	27	36	46	61
LOC109497302	337	357	364	195	91	158	1091	876	708	39	60	1102	1607	109	138	690	769
LOC109497301	7	4	9	7	6	4	2	2	0	3	0	3	4	68	96	2	2
LOC105260585	63	54	49	36	37	20	11	9	6	2	3	11	14	100	124	2	6
LOC109497305	2	0	1	1	9	2	0	0	1	55	85	0	0	48	40	0	0
RXFP2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	0	0
FRY	4	3	1	0	10	4	3	5	1	14	100	0	2	93	143	0	0
LOC102901028	8530	8675	9901	6161	2490	8867	1237	653	500	31	35	934	1226	487	627	624	690
LOC109497331	527	931	884	578	198	450	6	2	0	0	1	0	0	34	40	1	1
LOC109497337	3	1	2	3	2	0	0	0	0	0	1	0	0	7	17	0	0
ZAR1L	63	41	80	38	34	75	4	2	3	3	0	4	7	83	120	5	2
BRCA2	25	29	18	20	18	31	0	5	3	1	1	6	4	55	62	0	0
N4BP2L1	190	125	156	110	71	81	58	52	55	99	309	85	77	290	258	27	33
N4BP2L2	749	692	746	415	133	472	92	122	106	15	17	54	68	34	32	66	128
PDS5B	2301	2200	2235	1089	430	1492	1641	2104	1702	164	188	1558	2106	124	112	1113	1429
LOC109497366	1360	894	1082	1127	360	691	567	678	537	167	197	673	869	423	352	293	285
LOC109497357	2	3	2	4	8	0	0	0	0	3	0	0	0	74	101	0	0
KL	4	3	1	5	15	3	0	0	1	0	3	0	1	32	34	0	0
LOC109497379	62	8	57	11	18	253	0	0	0	1	3	0	3	59	43	0	3
LOC109497405	6	0	4	1	10	11	0	0	0	11	24	0	0	13	8	0	0
STARD13	3	1	0	0	2	3	0	0	1	0	2	1	0	34	48	1	0
LOC109497406	274	328	238	124	77	247	766	733	670	32	92	1496	2131	255	294	723	798
LOC111559553	9	4	10	3	2	1	1	0	1	0	0	2	4	16	10	2	2
LOC111559555	15	13	11	4	3	3	3	2	1	0	0	6	8	25	46	5	3
RFC3	4	6	6	2	10	3	0	0	1	12	17	0	2	19	31	0	0
LOC109497412	159	157	187	91	33	122	236	266	182	1	2	285	436	79	107	126	144
LOC109497409	4	0	1	1	2	3	0	0	0	33	11	0	0	16	22	0	0
LOC111559557	0	1	0	0	4	3	0	1	0	58	22	1	0	26	13	0	0
LOC109497407	1	0	2	2	2	0	0	0	0	7	6	0	0	18	16	0	0
LOC109497422	1	0	0	1	2	3	0	0	1	2	2	0	0	29	49	0	2
LOC109497423	1	0	1	3	3	5	0	0	1	91	127	0	0	24	24	0	2
LOC102901791	1	0	0	0	4	0	0	0	0	0	0	0	0	26	26	0	0
NBEA	58	70	59	48	21	37	11	11	20	0	3	9	12	37	61	8	11
LOC101083390	15919	14757	17586	11190	4894	11431	840	1299	992	342	333	876	1089	253	298	735	777
MAB21L1	18	4	8	28	15	7	3	3	3	13	19	4	1	39	35	4	8
LOC109492555	7	5	10	13	2	4	218	168	169	2	1	7	6	33	35	92	81
DCLK1	1	0	2	1	1	0	0	0	0	0	0	0	0	24	32	0	0
SOHLH2	3	4	3	6	20	2	1614	1449	1386	14	35	1520	2122	230	290	626	754
LOC111559572	1	0	2	2	12	1	162	890	689	151	80	88	125	44	57	3	3
CCDC169	0	0	1	0	2	0	0	0	3	2	1	6	5	0	0	3	5
SPART	0	0	0	1	4	0	14	38	19	20	29	27	45	58	81	17	24
CCNA1	488	499	420	274	94	305	2850	2986	2390	93	93	3396	4481	100	125	1561	2242
SERTM1	3	6	9	4	6	1	14	10	7	2	4	18	27	60	69	8	4
LOC109497469	4	2	7	2	8	5	1	1	3	10	39	10	8	26	42	0	0
RFXAP	1	1	1	3	7	0	2	8	1	34	22	0	2	116	122	0	0
SMAD9	535	557	464	213	108	321	294	393	285	20	10	423	580	45	45	179	223
ALG5	14	12	11	0	17	6	2234	3330	2742	5	4	1985	2525	118	115	1139	1391
EXOSC8	354	408	313	197	82	214	599	571	425	47	63	574	844	67	69	425	540
SUPT20H	162	169	161	116	45	144	162	151	95	30	25	186	247	57	65	86	121
LOC111559720	952	791	845	728	317	581	720	587	440	3	0	930	1314	187	157	449	512
POSTN	3	1	0	2	1	1	5	15	15	2	3	4	6	20	15	2	4
LOC109497540	5	2	3	2	14	5	110027	74430	60916	157	209	122240	169968	81	100	75977	99205
TRPC4	0	1	0	0	4	1	23	27	13	2	0	24	48	6	14	8	13
LOC111557024	2	9	3	4	18	3	1	0	0	53	104	1	0	196	251	0	0
LOC109497541	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0
LOC109492556	1	1	0	2	2	1	1	0	0	244	171	0	0	16	15	0	0
UFM1	1	0	1	0	3	1	0	0	0	1	1	0	0	17	28	0	0
FREM2	1067	1082	965	463	193	742	1840	2065	1654	72	115	1944	2605	112	85	1389	1870
STOML3	26	14	37	21	57	17	20	35	33	152	149	11	11	321	382	36	39
LOC111557022	6	0	1	6	3	1	1	0	1	31	15	0	0	51	75	0	0
PROSER1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0
NHLRC3	331	221	257	267	108	132	57	56	60	10	69	68	111	189	128	44	41
LOC109492559	972	758	802	349	172	467	1453	1752	1343	2	24	1717	2296	164	142	1049	1385
LOC111559741	1	0	1	1	2	0	0	0	0	10	12	0	0	7	12	0	2
LHFPL6	0	0	0	0	4	0	10	1	0	1	0	2	2	25	17	1	2
COG6	6	5	8	1	6	1	4966	9493	7481	18	21	3577	4582	90	117	8504	9479
LOC109497583	1326	1406	1396	817	329	1031	1234	1940	1552	2	6	2126	2863	142	128	1058	1359
LOC109497589	19	12	15	4	8	12	0	0	0	0	0	0	0	75	90	0	0
LOC109492560	4	3	9	3	10	11	0	0	1	13	44	0	0	21	20	1	0
LOC109497596	1	0	0	3	2	1	0	0	0	0	0	0	0	20	25	0	0
LOC109497598	316	263	210	101	73	141	3	8	6	104	115	2	4	130	151	4	7
LOC109497603	25	13	26	14	13	18	0	0	0	0	2	0	0	45	43	0	0
LOC109497600	12	10	12	6	14	21	0	0	0	0	1	2	0	61	72	0	0
FOXO1	4	9	3	0	2	2	0	0	0	1	0	0	0	10	18	0	0
MRPS31	3546	1893	2327	3421	1011	2057	309	320	266	8	4	281	443	226	197	338	340
SLC25A15	741	725	675	313	145	493	878	1159	904	24	35	885	1174	174	180	724	912
LOC101096867	40	39	37	32	11	28	203	165	135	3	1	380	524	122	190	221	268
THSD1	4	4	3	3	18	1	0	4	2	157	90	2	1	120	125	1	2
LOC111556783	17	8	15	11	14	13	51	87	83	10	3	96	86	96	148	19	14
VPS36	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
CKAP2	766	575	808	786	266	550	969	1188	956	222	246	1336	1981	230	183	900	930
NEK3	125	122	163	176	42	130	192	77	66	22	45	178	249	131	108	77	111
NEK5	237	330	277	189	66	198	205	259	191	22	21	452	672	78	99	222	298
LOC109497673	51	26	36	33	35	32	37	40	16	11	28	39	53	243	295	43	25
ALG11	1	0	3	0	3	3	1	0	0	0	1	1	2	6	3	0	2
ATP7B	197	158	192	121	47	124	297	258	211	0	0	306	414	60	50	208	247
CCDC70	239	169	241	93	88	242	84	43	32	11	7	183	197	290	324	70	109
DHRS12	0	0	0	0	5	1	0	1	0	2	0	0	0	58	64	0	0
WDFY2	203	82	178	59	52	101	31	36	29	0	2	59	56	103	108	24	30
LOC102900676	567	344	575	272	152	318	409	511	447	27	27	618	726	108	113	297	374
LOC111556827	20	12	14	15	12	8	2	0	0	7	9	1	4	78	97	0	4
INTS6	0	0	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0
SERPINE3	2502	2363	2408	1225	490	1584	998	884	693	119	53	1080	1434	200	184	725	895
LOC109497734	74	84	66	28	16	48	13	6	16	1	2	13	24	64	101	17	17
LOC105260724	9	3	2	3	3	2	2	5	4	49	51	8	6	58	74	2	1
FAM124A	1	1	0	1	1	0	0	0	0	0	1	0	0	6	16	0	0
LOC109498200	26	53	29	16	33	25	18	19	15	4	37	13	30	125	146	20	26
LOC102900780	0	0	4	0	5	0	0	0	0	69	52	0	0	59	83	0	0
LOC101098598	5	1	3	3	13	1	0	1	0	107	99	0	0	123	152	1	0
LOC111559776	5	1	1	0	4	1	1	0	0	2	6	0	0	68	67	0	0
LOC111559777	0	1	1	0	0	0	0	0	0	7	14	0	0	23	26	0	0
RNASEH2B	7	1	7	6	19	4	1	1	0	5	9	0	0	113	87	0	0
TRNAK-CUU	523	461	590	253	117	359	476	395	270	0	2	508	632	194	165	185	233
DLEU7	0	1	0	1	0	0	0	0	0	0	0	0	0	11	12	0	0
LOC109497901	10	1	5	3	24	5	0	0	0	52	47	0	4	77	101	0	0
LOC111556929	3	1	0	3	2	0	0	0	1	0	2	0	0	24	34	0	0
LOC111556704	0	0	0	0	0	0	0	0	0	23	14	0	0	0	0	0	0
LOC102900852	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC109497907	401	289	464	402	123	236	115	71	52	22	20	94	102	96	90	29	36
KCNRG	259	100	211	214	61	80	35	18	10	135	70	21	32	82	71	8	12
TRIM13	21	13	19	30	19	8	10	9	6	0	0	12	16	19	24	8	4
SPRYD7	58	50	62	46	21	28	139	150	105	5	0	110	183	41	79	72	111
LOC109497902	319	275	246	165	58	190	368	420	330	6	8	383	555	114	84	239	324
KPNA3	5	9	15	5	9	6	0	0	0	0	1	0	0	31	41	0	1
EBPL	1298	1027	1035	940	343	768	1308	1563	1133	68	42	1534	2129	156	137	950	1226
RCBTB1	166	133	145	120	47	100	196	194	127	0	0	158	195	22	24	123	162
ARL11	1593	1573	1447	686	311	922	510	752	591	63	77	702	1032	325	289	375	497
LOC101100105	419	411	462	195	110	287	0	1	2	147	69	1	0	49	80	1	0
CAB39L	1503	1366	1272	882	408	1077	399	560	484	83	65	457	643	258	228	372	408
LOC109497890	802	908	868	578	233	681	762	1186	933	1	5	761	1137	93	78	534	615
CDADC1	983	945	755	376	182	527	228	348	222	1	6	237	311	38	39	178	231
LOC102901569	1919	1981	1604	790	413	1222	658	809	630	1	4	635	894	188	156	529	617
MLNR	9	14	9	3	8	16	42	80	70	0	2	47	70	58	70	1	5
FNDC3A	0	0	0	0	4	0	2	1	3	0	0	3	5	25	13	1	2
LOC105260363	2061	1784	1884	987	385	1211	1928	2666	2191	20	26	1706	2238	255	250	1403	1724
CYSLTR2	19	12	13	28	21	10	7	5	1	129	95	0	1	21	32	0	0
LOC109497974	202	47	202	52	54	61	26	110	75	51	50	23	16	157	170	6	12
LOC111556256	0	0	2	2	6	2	1	0	3	0	0	0	0	31	52	0	0
RCBTB2	1	0	1	1	2	0	0	0	0	0	0	0	0	24	34	0	0
RB1	1963	1963	2090	1108	414	1753	1332	2205	1678	46	105	1569	1898	149	169	836	974
LPAR6	1482	1185	1477	1065	398	974	364	566	427	161	283	611	929	314	220	291	389
LOC111559794	368	230	486	156	103	281	104	117	98	1	6	85	105	20	28	59	68
ITM2B	3	1	2	1	1	4	0	1	0	0	0	2	0	32	24	0	1
LOC111556911	12082	13524	14965	8140	3675	10039	14757	22588	18429	34	16	12007	16926	257	169	19910	22685
LOC109497981	1	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
MED4	2	0	2	1	12	1	0	0	0	26	36	0	0	60	89	1	0
NUDT15	515	571	522	304	99	413	317	475	346	249	234	337	448	124	111	253	278
SUCLA2	367	339	384	186	64	285	244	391	321	16	35	258	403	55	47	364	436
LOC109497998	601	557	603	307	132	420	1439	1788	1341	1	29	1817	2775	115	96	1284	1430
HTR2A	8	13	9	6	7	13	14	2	1	7	18	8	3	81	122	0	0
LOC109498005	502	372	431	173	141	393	0	58	27	4	19	1	1	49	61	1	3
ESD	1	3	3	2	0	1	0	2	0	1	12	1	0	11	26	0	0
LRCH1	719	716	825	381	171	555	2015	2146	1694	60	39	2195	2881	34	37	1391	1655
LOC111559803	2158	1632	1904	1548	450	1304	607	681	551	18	17	672	966	344	297	607	685
RUBCNL	212	119	147	127	27	95	15	53	41	2	1	52	37	38	31	24	16
LRRC63	2367	1078	1770	1855	479	1277	418	687	580	41	59	788	940	265	320	381	437
LCP1	4	4	3	13	10	4	0	0	0	318	144	0	0	89	115	0	0
LOC109498029	20199	20852	19863	9023	3845	16028	1	111	73	79	61	0	2	5260	2933	9	4
CPB2	0	0	3	0	2	1	0	0	0	0	0	0	0	1	2	0	0
ZC3H13	1	1	1	2	3	2	1	1	0	4	11	1	1	49	66	0	0
LOC109498060	2422	1941	2173	1318	487	1401	1096	1139	882	127	64	1237	1733	996	678	741	876
LOC109498054	1	0	1	2	4	1	1	0	0	25	12	0	0	32	36	0	0
SIAH3	0	0	1	1	2	0	0	0	0	3	1	0	0	31	52	0	0
SPERT	4	2	0	1	5	0	0	0	0	0	0	0	0	60	110	0	0
LOC111559815	2	1	3	0	6	0	0	0	0	1	1	0	0	28	36	0	0
LOC111559816	1	1	2	0	3	0	0	0	0	0	1	0	0	21	19	0	0
ERICH6B	0	0	0	4	4	0	0	0	2	0	0	0	0	6	17	0	0
